"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"ABHD12",363,369,615,451,320,567,286,302,241,319,279,471,774,624,250,347,196
"ABHD12B",0,0,0,0,2,0,0,1,0,0,0,4,0,3,0,0,0
"ABHD13",363,525,598,419,492,1276,446,264,327,365,338,580,923,1087,242,570,250
"ABHD14A",187,139,266,168,103,294,104,87,74,144,91,177,329,219,98,134,67
"ABHD14A-ACY1",2,0,5,1,0,3,1,0,0,0,1,2,3,3,0,0,1
"ABHD14B",1419,1491,1972,1408,1013,2345,1060,807,710,1163,762,1520,2853,2010,995,1099,728
"ABHD15",414,628,706,660,402,904,345,295,410,376,490,655,1145,911,388,381,312
"ABHD15-AS1",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
"ABHD16A",58,97,131,161,95,181,88,84,80,78,138,118,199,236,96,75,58
"ABHD16B",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABHD17A",3293,3716,5916,4780,2750,5201,2486,2280,2296,2846,2371,3277,6244,6717,2054,2634,1937
"ABHD17AP1",9,43,11,9,8,14,5,7,1,9,3,3,11,6,12,3,0
"ABHD17AP3",0,1,2,5,2,3,0,0,0,1,0,1,0,0,0,1,0
"ABHD17AP4",2,7,1,9,1,9,2,7,1,2,6,6,2,13,4,13,1
"ABHD17AP5",14,24,9,14,10,31,4,12,23,11,6,19,20,64,3,15,3
"ABHD17AP6",22,12,30,37,11,28,17,10,14,24,4,9,23,25,11,13,19
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",321,414,469,391,324,646,241,250,280,309,351,468,786,787,197,259,217
"ABHD17C",35,55,63,63,32,55,28,56,28,45,27,38,74,148,18,32,35
"ABHD18",350,417,584,417,402,842,373,278,239,230,300,547,782,664,245,242,231
"ABHD2",2390,5166,5042,4484,2614,4321,2479,5521,4185,3598,7386,3768,6197,9668,2471,5760,2339
"ABHD3",800,1251,1369,998,728,2009,1187,732,970,626,997,898,1237,1821,683,1084,563
"ABHD4",679,1281,1503,1398,662,936,681,1007,789,755,920,814,1439,1800,767,902,569
"ABHD5",578,1224,1672,1199,564,1000,960,1195,852,907,1034,617,1075,2707,781,1319,557
"ABHD6",189,211,258,273,182,290,96,131,138,145,188,210,339,319,100,109,139
"ABHD8",244,358,472,343,211,451,193,231,203,249,249,318,590,427,175,214,186
"ABI1",1806,2418,2949,2149,1822,4012,1837,1763,1667,1789,1895,2354,4110,4806,1500,2003,1307
"ABI1P1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ABI2",284,380,428,341,479,908,313,218,241,261,275,597,808,821,252,226,205
"ABI3",1152,1029,1795,1723,726,1258,809,782,880,1003,696,1387,2430,1667,692,966,916
"ABI3BP",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"ABITRAM",185,272,360,280,213,415,194,203,153,231,164,262,392,453,166,205,159
"ABITRAMP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABL1",365,684,703,602,434,866,352,288,443,352,526,707,1375,1053,266,370,277
"ABL2",168,364,410,262,324,515,229,177,227,222,245,392,667,743,161,201,148
