"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"LBHD1",76,150,142,150,90,258,153,80,79,60,62,203,319,232,73,126,99
"LBHD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBR",2911,4503,5812,3247,2817,6160,3197,4153,3583,3292,4369,4084,6382,9327,2608,4378,1850
"LBX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBX1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBX2",3,9,17,10,6,9,3,10,8,10,8,9,8,11,8,4,7
"LBX2-AS1",40,65,105,70,54,64,21,27,32,50,18,58,114,64,40,34,31
"LCA5",3,3,3,3,5,8,2,0,0,3,3,5,6,6,2,4,2
"LCA5L",0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
"LCAT",103,179,241,164,112,151,101,113,108,127,112,91,155,180,107,136,65
"LCDR",32,33,55,24,33,105,48,24,15,43,28,28,53,72,24,39,16
"LCE1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE1F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LCE2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE5A",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCE6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCEP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCEP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCEP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCIIAR",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCK",6693,6432,8310,6373,5378,13898,5063,2888,3489,4108,4110,7530,14461,10741,3631,4060,3618
"LCLAT1",143,317,262,249,216,593,156,155,231,148,196,363,573,622,113,189,119
"LCMT1",374,393,513,417,342,583,242,266,222,347,282,452,765,627,297,301,226
"LCMT1-AS1",19,13,10,10,14,26,21,5,6,13,3,12,39,14,9,12,5
"LCMT1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LCMT2",193,286,301,242,190,604,229,140,130,187,170,285,472,453,165,161,123
"LCN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCN10",10,29,9,15,22,49,5,11,27,19,12,32,27,57,13,10,11
"LCN12",9,17,18,19,4,17,5,3,2,12,7,14,28,9,2,6,5
"LCN15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCN1P1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LCN1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCN2",92,134,137,176,186,224,65,458,101,151,130,82,147,438,411,157,82
"LCN6",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"LCN8",7,1,0,125,6,5,7,0,19,5,0,0,1,10,4,1,1
"LCN9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LCNL1",5,39,36,58,1,52,2,1,10,13,9,15,26,19,5,11,0
"LCOR",256,433,482,309,397,1082,405,285,325,349,394,520,869,1064,239,338,206
"LCORL",100,171,204,141,156,304,127,84,92,137,115,191,347,322,84,125,81
"LCORLP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LCP1",32299,56024,68895,52890,27766,45650,32676,45970,35219,36602,48225,39939,67982,88752,31390,36129,25392
"LCP2",5058,7355,8614,6032,4805,9448,4985,5229,4674,4315,5205,6353,11011,11115,4280,3976,3513
"LCT",0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0
"LCT-AS1",4,10,3,17,11,18,2,1,2,7,2,4,7,5,2,11,0
"LCTL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"LDAF1",184,203,277,280,241,457,199,192,153,194,216,262,517,474,197,201,146
"LDAH",212,274,291,309,192,423,203,115,161,163,233,321,584,510,180,160,160
"LDB1",1529,2860,2690,2521,1844,4225,2046,1508,1575,1549,1958,2744,4659,4588,1357,1601,1206
"LDB2",10,15,20,23,2,11,7,3,7,7,5,7,22,31,5,6,9
"LDB3",3,0,1,0,3,0,0,1,2,3,2,2,1,1,1,0,3
"LDC1P",2,4,0,5,4,1,4,0,1,4,0,4,4,2,1,2,0
"LDHA",3526,4293,5422,4893,2983,6775,3514,3389,2353,2768,3088,4057,7851,6315,3074,2712,2626
"LDHAL6A",0,0,8,1,0,10,0,0,0,9,2,0,0,0,3,0,2
"LDHAL6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAL6CP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAL6DP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAL6EP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAL6FP",0,2,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0
"LDHAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHAP4",0,10,2,4,14,16,5,17,0,0,21,11,12,11,8,13,8
"LDHAP5",0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0
"LDHAP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LDHB",7486,6585,8468,6317,7894,16944,6495,2999,3139,5234,3699,8594,17378,13045,5717,4870,4647
"LDHBP1",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"LDHBP2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LDHBP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDHC",0,0,0,0,1,2,0,0,0,1,5,0,0,0,0,0,4
"LDHD",7,54,94,84,20,19,41,58,18,31,31,48,54,19,37,38,4
"LDLR",196,258,228,231,195,262,230,203,173,175,154,224,337,391,155,100,133
"LDLRAD1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDLRAD2",12,24,26,28,19,24,21,9,13,27,2,22,38,42,11,10,11
"LDLRAD3",84,91,132,92,76,102,61,64,85,61,66,76,131,146,83,63,78
"LDLRAD4",325,578,545,487,401,1042,368,255,260,358,363,601,1063,917,231,329,240
"LDLRAD4-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDLRAD4-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDLRAP1",3850,3622,4689,3737,4191,9239,3956,1896,2197,3701,2799,4772,8761,6554,2813,2337,2274
"LDOC1",108,74,104,123,80,115,45,34,43,129,66,102,227,106,44,132,30
"LEAP2",78,91,65,94,71,150,50,30,34,70,38,56,102,130,37,30,28
"LECT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEF1",4141,3761,4308,2761,4488,10186,4102,1524,2392,3078,3161,5543,10014,7125,2624,2044,2289
"LEF1-AS1",77,73,72,49,157,241,81,21,40,68,44,106,162,133,63,39,36
"LEFTY1",7,4,7,14,24,7,4,10,4,1,4,2,7,11,10,10,12
"LEFTY2",4,5,0,2,3,3,3,1,1,5,0,1,8,2,5,0,0
"LEFTY3P",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEISA1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEKR1",6,2,5,6,2,8,5,0,1,0,0,6,5,6,3,1,2
"LELP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEMD1",0,0,1,0,0,1,0,0,0,0,0,1,2,2,0,0,0
"LEMD1-AS1",0,1,0,0,0,3,0,0,0,1,0,1,1,4,0,2,0
"LEMD1-DT",1,0,3,0,0,1,1,4,0,6,1,1,4,1,1,0,0
"LEMD2",1197,1726,2085,1664,1138,2838,1225,1027,1018,1310,1370,1582,2797,2869,925,1252,854
"LEMD3",555,726,777,577,612,1510,580,383,540,477,598,930,1441,1828,396,549,368
"LENEP",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"LENG1",250,328,421,327,235,477,199,184,211,252,174,307,535,441,216,240,152
"LENG8",3669,8828,6904,6701,5586,10847,6112,3383,3846,4826,5656,8276,12646,13604,3198,3748,3028
"LENG8-AS1",46,68,97,56,88,172,79,28,55,72,60,116,150,158,39,50,22
"LENG9",38,62,168,105,68,99,56,54,68,80,35,76,131,113,53,71,34
"LEO1",381,448,493,418,333,576,276,193,273,206,294,431,834,719,266,213,216
"LEP",1,15,20,7,7,8,4,11,2,7,9,7,12,27,17,31,8
"LEPR",37,61,87,84,161,77,68,29,78,50,70,83,112,123,54,124,73
"LEPROT",808,1216,1715,1206,1075,1705,1014,618,755,885,787,848,1426,1821,964,1007,597
"LEPROTL1",2163,2398,3085,2248,2050,5338,2226,1286,1469,1804,1498,3255,5811,4546,1593,1933,1296
"LERFS",48,0,1,6,41,209,2,30,3,26,24,95,128,91,1,40,30
"LETM1",465,639,677,606,511,1079,389,331,426,455,487,731,1390,1157,384,354,253
"LETM1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETM2",88,106,182,137,82,143,73,97,71,104,141,67,155,316,87,112,56
"LETMD1",755,1129,1419,999,962,2074,930,603,560,924,682,1119,1933,1794,730,747,504
"LETR1",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"LEUTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LFNG",5446,5916,7475,5269,4372,7425,3683,3533,4187,4540,6177,5683,9742,6578,3465,4008,3223
"LGALS1",2581,2199,5072,3458,1622,3596,2054,2005,1622,2618,1800,2148,3568,3002,2603,1605,2492
"LGALS12",416,165,243,164,338,252,164,122,185,172,817,380,561,436,257,128,137
"LGALS13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGALS14",0,0,1,0,2,1,1,0,0,0,1,0,2,0,0,0,0
"LGALS16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGALS2",159,328,709,336,259,155,216,330,158,378,222,464,801,433,127,867,316
"LGALS3",2061,2287,3359,3780,1840,1926,2015,1378,2956,1590,1867,1149,1860,1818,3617,1664,3229
"LGALS3BP",564,552,835,427,721,1270,719,306,420,840,407,1277,1929,1005,511,419,372
"LGALS4",26,59,578,364,42,82,286,19,13,20,11,300,570,43,25,257,13
"LGALS7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGALS7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGALS8",1121,1851,1947,1522,1284,2960,1355,1143,931,1073,1414,1966,3348,3042,1097,1035,861
"LGALS8-AS1",4,8,14,16,2,18,1,2,0,4,4,6,14,7,6,12,2
"LGALS9",2520,2566,3833,3053,1575,3004,1990,2459,3308,2704,2937,4032,6363,3266,2986,2384,1366
"LGALS9B",87,45,47,138,26,88,31,31,85,43,37,134,181,129,99,83,53
"LGALS9C",18,91,106,68,68,122,91,121,84,39,42,63,95,128,99,77,52
"LGALS9DP",13,23,19,7,11,15,10,10,12,22,24,14,16,22,14,9,8
"LGALSL",146,271,382,366,364,302,309,394,213,195,210,255,322,1134,347,308,203
"LGALSL-DT",0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,1
"LGI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGI2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGI3",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LGI4",3,4,4,5,3,7,1,1,1,3,1,3,5,5,2,1,0
"LGMN",154,157,174,184,155,255,104,126,110,139,110,212,413,211,111,83,92
"LGMNP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGR4",6,20,25,16,18,43,24,4,29,6,29,16,38,75,6,12,15
"LGR4-AS1",0,0,0,2,0,3,0,0,0,1,0,1,0,1,0,0,0
"LGR5",0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
"LGR6",134,71,142,265,70,83,31,39,112,127,116,131,190,176,31,137,81
"LGSN",0,4,4,5,4,5,4,0,2,0,6,1,0,14,4,0,0
"LHB",1,1,2,1,2,2,2,0,0,1,0,1,2,4,0,0,0
"LHCGR",0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"LHFPL1",0,2,2,3,0,2,2,0,2,6,1,3,2,1,0,0,0
"LHFPL2",185,272,381,352,144,423,134,135,288,208,332,439,632,466,244,305,142
"LHFPL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHFPL3-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"LHFPL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHFPL5",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"LHFPL6",4,2,2,6,2,13,2,7,2,1,4,7,16,13,6,3,6
"LHFPL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHPP",387,641,937,667,423,839,373,367,340,560,440,628,1042,790,355,309,363
"LHX1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LHX1-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX2",0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0
"LHX2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX4",0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"LHX5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX6",0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0
"LHX8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX8-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHX9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIAS",145,182,223,188,200,353,154,108,102,151,143,242,344,369,119,128,113
"LIAT1",61,139,11,133,32,105,40,79,61,96,5,75,149,81,91,8,76
"LIF",1,12,6,10,6,15,5,4,3,0,3,14,21,8,3,2,2
"LIF-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIF-AS2",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LIFR",0,0,0,3,2,9,0,0,4,0,1,1,0,0,0,0,0
"LIFR-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LIG1",539,704,683,710,728,1140,555,354,339,528,467,856,1433,1298,335,423,311
"LIG3",359,561,645,509,419,940,387,233,378,353,459,602,1073,945,293,327,286
"LIG4",184,291,247,227,242,847,238,142,207,189,171,343,500,558,122,258,140
"LILRA1",1359,2201,2294,1739,1647,2876,1525,2178,2121,2202,1574,1361,2394,4309,1425,1767,1678
"LILRA2",2349,3886,4922,3695,2387,4557,2649,5594,4051,4409,3460,1990,3160,8821,3712,4456,2615
"LILRA2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LILRA4",222,218,221,329,90,363,91,55,110,152,181,352,724,327,100,169,121
"LILRA5",2499,3341,6629,2469,851,2774,1642,3675,1555,2766,4563,2412,3356,3994,3530,2976,1448
"LILRA6",378,1118,1115,1357,431,1136,852,1908,580,610,1018,775,1086,1074,654,1028,553
"LILRB1",946,1310,2147,2014,943,2093,1166,1246,1157,1384,1110,1560,2596,2514,990,1035,1044
"LILRB1-AS1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LILRB2",2955,6712,8082,5913,3049,6417,3463,4946,3471,5887,4584,3702,6079,11040,4127,4038,2768
"LILRB3",1898,5265,6247,4434,2125,4604,3519,6739,3560,3511,4397,2559,3803,7258,3323,4310,2200
"LILRB4",388,573,840,562,305,835,339,482,297,487,386,500,881,634,551,332,308
"LILRB5",27,6,89,12,5,26,18,33,5,68,8,20,35,40,5,18,6
"LILRP1",8,6,8,9,10,8,9,8,8,4,14,3,9,3,1,5,4
"LILRP2",1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0
"LIM2",18,5,27,35,15,8,6,2,2,2,8,13,12,45,9,5,4
"LIM2-AS1",0,3,9,4,1,5,2,0,2,0,1,0,9,12,2,1,4
"LIMA1",242,333,392,271,227,583,238,112,156,158,217,336,611,504,130,175,142
"LIMASI",0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0
"LIMCH1",5,1,4,3,3,1,4,2,4,2,5,4,5,2,5,3,3
"LIMD1",815,1259,1257,1248,933,1948,943,806,989,945,1184,1527,2457,2385,683,598,735
"LIMD1-AS1",13,27,25,23,17,53,24,10,15,24,16,43,77,67,13,24,11
"LIMD2",11142,12085,19969,12369,9191,18596,9627,9837,8929,11954,9814,12210,20507,18990,8503,11344,6833
"LIME1",71,98,117,114,91,160,59,51,81,94,69,106,158,161,46,75,47
"LIMK1",647,1100,1224,1221,652,1165,584,824,563,624,806,919,1566,1532,676,544,382
"LIMK2",1716,3882,4312,2341,1301,3268,2809,5133,2749,2734,4195,1704,2786,5282,2656,2102,1436
"LIMK2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIMS1",972,1128,1729,1490,2161,1728,943,1018,835,770,1179,1331,2197,2119,880,1118,878
"LIMS1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIMS2",61,178,260,113,171,457,179,148,210,144,186,196,347,427,129,86,87
"LIMS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LIMS4",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"LIN28A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN28AP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN28AP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN28AP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN28B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN28B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIN37",144,158,256,210,111,282,138,141,121,108,173,166,309,343,111,169,90
"LIN52",122,153,171,126,121,378,136,97,129,140,102,156,287,295,127,137,96
"LIN54",154,273,364,287,216,431,195,168,234,184,304,317,541,581,137,248,143
"LIN7A",314,631,865,416,320,671,319,498,345,394,434,258,398,1194,262,424,182
"LIN7B",27,72,51,42,37,73,30,21,15,34,19,39,62,90,25,37,31
"LIN7C",303,402,598,365,401,896,442,292,284,335,361,578,878,874,218,386,241
"LIN9",39,61,62,42,43,169,56,10,42,51,27,61,97,146,25,30,26
"LINC-ADAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC-PINT",157,298,265,203,268,443,205,165,151,204,172,252,390,557,147,237,121
"LINC-ROR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00051",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"LINC00052",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00092",21,19,44,31,6,43,5,10,9,19,4,23,30,45,15,16,7
"LINC00102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00106",10,18,19,25,22,31,29,10,16,32,20,38,55,59,7,18,17
"LINC00111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00114",1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1
"LINC00115",20,34,53,21,38,59,38,15,13,40,21,38,65,49,21,25,18
"LINC00158",0,0,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0
"LINC00159",0,2,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0
"LINC00160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00173",34,123,147,109,94,171,66,114,30,84,87,64,97,163,93,46,55
"LINC00174",144,251,146,228,141,253,140,119,101,153,197,234,406,338,87,88,99
"LINC00184",0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"LINC00189",11,34,47,10,7,30,10,3,18,16,8,6,12,34,15,20,22
"LINC00200",0,0,0,0,13,0,2,0,0,6,0,0,0,0,0,0,0
"LINC00205",66,84,81,60,114,273,73,57,55,61,41,116,186,151,51,65,55
"LINC00207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00221",4,3,8,7,10,11,8,2,3,9,2,3,11,41,4,0,2
"LINC00222",0,0,4,4,3,0,1,1,1,4,3,0,10,2,0,3,1
"LINC00226",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"LINC00229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00235",6,9,6,7,12,35,9,6,8,8,4,24,15,21,2,3,9
"LINC00237",3,1,0,1,1,1,0,1,0,1,1,0,0,1,0,2,0
"LINC00239",8,5,3,10,1,8,6,1,2,3,1,12,13,16,0,4,6
"LINC00240",0,1,2,0,0,4,0,2,0,0,2,5,1,2,0,0,0
"LINC00242",0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
"LINC00243",11,63,59,25,32,143,49,18,13,16,18,52,85,130,24,43,20
"LINC00244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00265",75,112,89,121,58,232,74,52,89,46,93,144,235,171,57,51,44
"LINC00265-2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00265-3P",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"LINC00269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00272",0,0,0,2,0,4,1,0,0,0,0,0,1,1,0,0,0
"LINC00273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00278",18,0,0,12,13,28,0,0,19,16,8,23,36,0,7,12,19
"LINC00280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00293",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0
"LINC00294",263,380,345,359,253,491,228,201,222,207,228,314,590,789,168,201,141
"LINC00297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00299",46,34,37,71,50,28,24,16,24,19,49,66,83,108,25,24,16
"LINC00301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00304",4,14,12,6,11,29,17,9,6,6,6,13,24,13,6,2,3
"LINC00305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00309",0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0
"LINC00310",8,7,7,5,2,8,3,4,1,8,6,5,8,10,1,5,4
"LINC00311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00313",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00315",0,0,0,0,0,2,0,0,3,0,0,1,2,1,0,0,0
"LINC00316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00323",4,2,2,0,1,3,0,0,2,2,12,4,10,0,1,0,1
"LINC00324",197,310,370,349,163,547,214,164,236,233,197,292,471,473,179,243,175
"LINC00326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00327",3,1,0,1,0,1,1,0,1,0,0,0,1,0,0,2,1
"LINC00328-2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00330",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LINC00331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00332",1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
"LINC00333",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC00334",7,3,0,1,3,6,0,1,2,0,0,7,1,3,6,0,0
"LINC00336",2,3,0,1,2,3,0,0,3,3,0,2,5,2,0,0,2
"LINC00339",421,354,417,493,287,988,283,156,189,318,247,305,560,783,165,256,285
"LINC00342",467,519,520,537,521,1242,477,214,248,400,344,642,1113,1055,326,236,212
"LINC00343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
