Gene	GSM3288223_Sample_01-H_dLCC	GSM3288226_Sample_02-H_dRoDeAA	GSM3288228_Sample_03-H_dZC	GSM3288231_Sample_04-H_dTG	GSM3288234_Sample_05-H_dPF	GSM3288237_Sample_06-H_dGiAg	GSM3288240_Sample_07-H_dLePe	GSM3288243_Sample_08-H_dNB	GSM3288245_Sample_09-H_tripletC	GSM3288248_Sample_10-H_tripletH	GSM3288251_Sample_11-H_tripletQ	GSM3288254_Sample_12-H_tripletW	GSM3288257_Sample_13-H_tripletS	GSM3288260_Sample_14-H_tripletA	GSM3288263_Sample_15-H_tripletG	GSM3288266_Sample_16-H_tripletJ	GSM3288273_Sample_18-H_tripletT
GNB3	25	29	29	15	52	23	11	5	8	70	40	129	20	71	60	42	109
GNB4	129	272	338	149	246	93	62	102	172	226	453	424	458	465	159	667	567
GNB5	158	132	42	57	55	45	33	45	55	46	33	67	32	50	29	57	45
GNE	235	412	444	218	99	114	32	73	50	187	240	350	196	216	263	403	563
GNG10	10	21	23	11	11	4	1	8	1	6	2	23	1	3	12	7	33
GNG11	6	130	18	7	27	6	4	13	6	1	0	4	5	6	1	0	3
GNG12	2	4	6	6	2	1	2	0	0	0	0	0	0	0	0	0	2
GNG12-AS1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GNG13	1	0	2	0	0	4	0	1	5	2	9	1	2	15	0	1	2
GNG2	571	985	820	474	56	265	82	174	118	201	308	425	548	273	146	554	772
GNG3	9	6	14	6	4	11	3	11	19	25	47	16	49	68	21	41	42
GNG4	22	7	9	12	23	3	19	17	30	25	25	29	36	36	18	35	35
GNG5	1024	1873	2139	1165	630	668	176	244	170	1571	1516	2964	982	1293	1658	2271	2952
GNG7	95	102	29	22	267	31	47	45	16	26	23	26	17	26	19	30	59
GNG8	8	10	2	0	6	5	12	12	5	3	15	1	19	20	3	4	0
GNGT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNGT2	19	15	3	9	61	12	25	22	5	2	8	8	18	17	5	2	2
GNL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNL2	897	1550	1462	626	519	666	263	298	185	959	1188	906	998	1373	605	1397	2277
GNL3	706	1284	1603	627	238	433	196	231	153	463	650	410	742	608	402	915	1721
GNL3L	228	417	543	249	204	181	72	116	210	438	488	851	482	613	571	705	795
GNLY	44	79	6	8	10	19	28	76	13	3	18	7	73	16	9	30	95
GNMT	60	11	5	13	68	12	35	15	1	7	9	2	3	12	0	0	7
GNPAT	928	1466	1139	565	548	482	254	427	488	917	1304	1142	1084	1196	778	1940	1874
GNPDA1	930	1187	1535	732	923	505	220	401	107	451	448	535	468	481	377	736	1114
GNPDA2	54	209	176	83	26	58	5	28	18	91	132	118	84	112	71	202	298
GNPNAT1	195	463	557	162	58	149	47	67	63	96	170	89	210	145	77	231	386
GNPTAB	1364	1238	1313	1267	223	609	188	179	64	241	291	321	301	349	213	469	837
GNPTG	1977	1035	1018	1244	1476	771	533	523	96	545	615	941	478	743	865	755	1095
GNRH1	72	39	23	33	52	29	21	21	25	71	74	133	55	93	70	130	103
GNRH2	3	0	0	1	3	0	0	4	0	1	4	6	5	0	2	1	4
GNRHR	1	2	0	1	2	1	3	0	0	0	3	0	1	2	0	2	0
GNRHR2	6	16	10	5	7	3	1	4	12	10	23	15	16	16	12	27	23
GNS	4092	2489	2590	2482	1863	1168	970	819	162	397	450	670	587	517	468	631	972
GOLGA1	326	350	221	235	219	215	91	114	117	363	325	615	318	407	312	594	628
GOLGA2	580	488	556	532	405	324	221	151	203	525	380	1154	261	714	670	457	833
GOLGA2P10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GOLGA2P2Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2P3Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA2P5	72	148	106	78	61	169	46	92	47	99	136	82	130	194	62	171	219
GOLGA2P6	2	2	1	2	0	0	0	1	0	2	1	1	1	7	2	4	1
GOLGA2P7	9	5	8	0	0	1	2	3	7	3	4	5	3	7	1	6	3
GOLGA2P9	1	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0
GOLGA3	1895	717	916	863	1133	1284	660	594	459	1005	1003	2090	1186	1212	2281	1351	1563
GOLGA4	219	433	512	295	96	95	29	102	146	853	593	1610	506	718	1359	1396	1363
GOLGA5	357	427	439	305	145	152	67	73	101	361	365	689	285	353	491	635	742
GOLGA6A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6C	9	13	22	26	8	7	1	6	4	18	23	23	27	27	17	36	33
GOLGA6D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L10	1	3	1	0	0	1	0	0	0	6	2	6	2	5	1	1	4
GOLGA6L17P	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
GOLGA6L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA6L4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GOLGA6L5P	1	1	1	0	1	0	0	0	5	0	2	1	1	7	1	0	5
GOLGA6L6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0
GOLGA6L7P	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1
GOLGA6L9	0	2	3	1	0	0	1	3	16	8	16	12	5	29	2	2	13
GOLGA7	314	599	566	325	245	174	95	114	157	555	606	1206	502	654	1096	995	1253
GOLGA7B	23	5	7	16	17	16	7	14	10	5	6	8	9	32	1	10	0
GOLGA8A	233	354	343	262	388	576	199	185	174	126	258	202	167	260	40	356	369
GOLGA8B	557	481	192	675	470	280	396	266	126	259	428	242	357	401	138	499	597
GOLGA8CP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GOLGA8DP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8EP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8IP	0	1	0	0	2	1	0	1	1	1	0	0	1	0	2	1	1
GOLGA8J	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GOLGA8K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8N	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
GOLGA8O	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0
GOLGA8R	0	0	1	0	3	0	0	0	0	0	0	2	0	1	0	0	3
GOLGA8S	1	0	1	1	0	0	2	0	0	1	3	7	1	2	1	8	1
GOLGA8T	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GOLGB1	2015	1073	736	841	1268	871	739	716	354	522	586	776	642	854	757	948	1071
GOLIM4	144	343	781	243	40	52	37	80	241	381	665	695	357	733	504	935	1018
GOLM1	615	824	514	632	177	247	107	282	41	132	587	233	256	183	212	371	715
GOLPH3	139	529	764	304	67	97	30	63	131	498	597	1097	362	425	589	896	1161
GOLPH3L	182	481	423	241	89	153	49	79	122	306	362	462	332	315	289	611	662
GOLT1A	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
GOLT1B	203	254	442	229	94	81	32	59	113	378	464	577	401	349	382	700	774
GON4L	187	279	237	162	108	143	63	60	53	219	204	449	197	338	301	308	514
GOPC	118	328	284	179	85	106	29	24	34	179	241	308	206	251	171	402	479
GORAB	33	35	53	17	7	8	13	2	0	2	0	2	5	4	4	6	29
GORASP1	595	642	682	359	304	327	156	203	98	329	331	545	228	474	336	620	956
GORASP2	796	1075	1261	694	366	376	157	169	66	239	298	465	309	361	245	494	989
GOSR1	339	442	437	235	150	156	77	102	120	309	330	571	351	403	323	512	739
GOSR2	783	822	771	377	431	418	281	378	527	695	679	866	949	923	687	1072	1173
GOT1	745	1383	1308	534	343	541	178	397	844	2371	1855	5466	1578	1713	3397	2709	2813
GOT1L1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GOT2	859	2397	2298	651	740	1009	415	779	527	1228	1526	1182	1561	1614	746	2361	2666
GP1BA	19	546	25	8	20	13	19	33	6	3	11	10	7	36	4	9	17
GP1BB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP2	7	5	2	1	7	5	0	3	107	28	24	13	36	39	13	46	18
GP5	3	16	2	0	2	0	1	2	5	3	0	1	5	3	2	2	2
GP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP9	41	520	18	4	25	31	124	175	12	0	7	10	25	16	2	6	9
GPA33	0	4	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
GPAA1	4564	2921	3344	2141	4303	3605	2533	3939	5773	5376	5522	3879	6660	8227	2513	6865	6681
GPALPP1	46	264	209	53	28	32	6	10	20	142	176	150	106	118	109	216	375
GPAM	28	207	142	56	34	41	6	16	58	121	159	161	153	166	71	337	302
GPANK1	25	0	0	15	0	0	0	0	0	0	0	0	0	0	15	1	0
GPAT2	20	15	11	20	29	20	33	26	18	4	9	10	18	16	8	22	51
GPATCH1	126	233	154	130	97	107	41	66	40	163	160	231	168	188	112	223	348
GPATCH11	82	273	259	107	54	71	16	41	56	161	260	191	202	201	84	311	458
GPATCH2	57	99	112	56	40	50	16	21	32	66	108	98	129	62	57	132	138
GPATCH2L	316	337	316	161	300	169	146	153	117	268	294	561	268	353	282	446	635
GPATCH3	922	592	567	480	1092	650	492	806	1022	733	983	833	1232	1418	611	1384	1043
GPATCH4	659	1205	1210	413	415	633	298	475	915	783	1478	371	2119	1619	283	1632	1449
GPATCH8	199	431	456	241	119	149	41	71	96	393	342	988	279	424	591	678	888
GPBAR1	16	7	2	3	25	7	18	8	9	2	2	10	6	17	8	11	12
GPBP1	935	1502	1108	736	625	610	249	250	460	1605	1434	2459	1286	1489	1548	2409	2337
GPBP1L1	663	1194	1128	644	396	411	166	213	501	1383	1406	3248	1126	1535	2009	2267	2631
GPC1	15	12	10	26	125	15	26	23	2	1	0	1	3	8	1	1	1
GPC2	4	9	2	2	14	8	3	0	0	3	3	5	0	3	3	3	13
GPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC4	0	0	0	1	2	0	1	2	0	0	0	2	0	2	0	0	0
GPC5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC5-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GPC5-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC6	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GPC6-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC6-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPCPD1	515	610	726	371	475	239	100	257	991	2859	2015	9881	2630	2914	6806	4463	3605
GPD1	7	3	3	6	8	1	3	1	8	7	1	11	7	35	10	4	5
GPD1L	133	308	350	139	55	76	18	46	4	47	74	49	93	58	39	113	229
GPD2	103	255	254	149	128	64	28	37	33	114	195	236	110	166	142	271	393
GPER1	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0
GPHA2	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	3	0
GPHB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPHN	60	217	199	124	45	94	20	30	15	40	48	45	33	59	40	100	135
GPI	7274	5214	4416	3422	10331	3518	4320	3486	573	1350	705	1621	1637	1391	293	750	1540
GPIHBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPKOW	843	961	728	461	390	490	189	304	418	1304	1393	1948	1182	1677	1479	2111	2262
GPLD1	30	35	27	15	8	11	7	15	30	71	75	162	38	79	113	104	156
GPM6A	3	0	1	0	0	3	1	5	1	1	6	1	3	0	4	5	4
GPM6B	1	2	5	1	0	0	0	0	0	1	3	7	2	1	4	4	4
GPN1	441	969	806	352	222	276	113	224	295	538	632	741	618	636	442	1068	1147
GPN2	574	523	521	284	338	329	221	302	159	269	353	301	469	418	217	513	572
GPN3	88	495	514	155	89	147	27	54	109	399	511	491	378	456	309	727	924
GPNMB	3278	1310	1095	4366	8161	752	1135	1436	59	140	62	349	340	569	142	119	164
GPR1	12	5	6	0	4	8	4	5	10	2	9	12	12	8	8	15	18
GPR1-AS	6	19	22	9	8	5	4	6	4	22	12	65	27	25	24	18	30
GPR101	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
GPR107	869	622	537	541	770	403	265	208	137	423	417	510	395	493	349	511	692
GPR108	1940	1143	877	778	1869	842	920	915	271	696	646	698	533	1122	597	825	1102
GPR119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR12	1	4	7	2	1	5	6	6	9	2	5	6	8	11	5	9	9
GPR132	159	99	36	87	372	58	124	92	7	6	6	16	10	25	14	8	9
GPR135	0	0	1	1	2	1	0	1	0	0	1	0	1	0	1	1	0
GPR137	767	417	464	424	987	608	540	810	658	824	789	1119	917	1281	727	1105	1234
GPR137B	134	79	92	163	108	28	39	34	3	7	1	5	5	21	5	8	24
GPR137C	4	1	2	3	1	2	0	2	1	2	3	0	1	1	0	8	8
GPR139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR141	10	2	0	2	7	1	0	1	1	1	1	2	0	0	0	0	0
GPR142	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GPR143	4	0	0	0	6	0	0	1	0	0	1	1	0	0	0	0	1
GPR146	303	372	326	182	132	255	95	98	93	421	297	3480	304	509	872	1300	740
GPR148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR15	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	1
GPR150	8	4	7	8	8	2	1	2	0	0	0	0	0	1	0	0	0
GPR151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR153	1867	212	1014	900	75	367	268	249	11	8	19	4	44	60	17	60	197
GPR155	47	145	126	62	40	63	13	45	122	178	219	207	169	254	105	345	290
GPR156	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
GPR157	0	0	0	1	2	0	1	2	0	0	0	0	0	1	0	0	1
GPR158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR158-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR160	22	117	109	38	67	12	17	10	13	41	36	135	36	41	50	41	86
GPR161	22	35	25	22	24	11	13	7	52	105	109	53	160	130	52	153	155
GPR162	193	20	24	54	759	55	190	93	2	4	2	3	2	21	3	5	4
GPR17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR171	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	2
GPR173	22	6	7	4	3	4	3	6	0	3	0	3	0	0	0	0	5
GPR174	2	8	4	8	0	0	2	0	0	0	0	0	0	1	0	0	0
GPR176	6	11	11	10	1	3	0	2	1	18	30	214	26	60	142	65	48
GPR179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR18	1	4	1	2	4	0	1	2	0	0	2	0	4	2	5	10	3
GPR180	74	120	158	88	23	33	16	9	32	88	157	144	91	86	87	190	242
GPR182	1	2	0	0	4	1	0	0	0	3	0	1	0	1	2	1	0
GPR183	119	177	117	177	211	46	38	37	5	8	10	27	26	39	15	19	34
GPR19	3	18	8	6	6	1	4	1	2	13	4	46	8	10	16	22	30
GPR20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR21	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	2	1
GPR22	0	0	3	0	0	0	0	4	4	2	4	2	2	1	8	7	2
GPR25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR26	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
GPR27	1	14	11	0	3	0	0	0	0	0	0	1	0	0	1	0	3
GPR3	4	11	27	8	16	29	3	11	4	12	13	27	10	27	13	38	15
GPR31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR34	43	44	5	32	1	1	3	7	2	10	3	11	7	19	13	5	21
GPR35	247	50	33	86	1444	101	433	449	25	27	17	22	50	70	19	11	72
GPR37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR37L1	0	2	1	2	4	2	0	2	4	4	4	1	5	6	2	7	3
GPR39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR4	4	0	2	0	4	0	0	0	0	1	4	1	4	2	3	4	3
GPR45	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
GPR50	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
GPR52	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	3	1
GPR55	2	2	17	2	4	0	1	6	0	0	0	0	0	0	0	0	0
