Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
ANO1	0	5	0	8	0	0	1	0	0	0	0	0	0	0	0	3
ANO1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO10	260	479	302	425	390	701	136	120	334	179	413	639	308	686	273	314
ANO2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ANO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANO5	60	66	55	54	54	39	11	1	13	3	32	32	41	12	37	51
ANO6	48	263	151	163	235	258	24	26	43	11	56	215	48	121	57	33
ANO7	21	30	18	9	18	70	5	6	3	2	1	43	3	3	3	3
ANO8	167	88	59	80	87	185	3	2	6	3	8	55	18	48	6	2
ANO9	33	22	31	55	37	27	9	3	6	0	2	18	4	4	4	2
ANOS1	21	5	4	4	2	18	0	1	0	1	1	4	1	9	2	5
ANP32A	2622	3501	2652	4370	3248	2786	2170	1209	3925	848	1907	8111	3232	5336	3318	2426
ANP32A-IT1	37	7	10	12	8	13	6	21	22	5	6	35	8	15	9	18
ANP32AP1	0	1	0	1	0	0	0	2	0	0	0	2	1	2	4	0
ANP32B	6489	8538	7375	12797	9747	10842	18222	13794	37796	16530	24026	28506	18938	42164	28661	24571
ANP32C	0	0	0	0	1	0	3	0	0	0	0	1	1	0	0	0
ANP32D	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ANP32E	729	2170	1696	3749	2413	843	3320	1724	4436	2360	5753	3004	3332	6223	6017	4816
ANPEP	4663	253	185	133	383	5241	385	336	85	117	340	15442	368	491	445	177
ANTXR1	0	3	0	1	1	0	4	2	0	10	27	22	2	6	39	4
ANTXR2	128	386	282	193	584	388	17	13	11	12	26	664	20	68	18	10
ANTXRL	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ANTXRLP1	15	3	1	4	3	4	0	3	3	0	1	8	1	4	0	2
ANXA1	767	5396	2395	4399	5790	3078	61	29	30	65	166	3938	238	517	212	122
ANXA10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ANXA11	6597	1999	1454	853	1797	4124	219	158	223	95	173	7624	364	511	274	154
ANXA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA2	3671	5155	1749	4194	3115	3735	442	164	111	142	262	2806	473	531	654	186
ANXA2P1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0
ANXA2P2	19	2	3	1	2	1	5	4	4	3	6	11	3	4	4	2
ANXA2P3	0	1	1	1	1	0	0	0	0	0	0	5	0	0	0	0
ANXA2R	399	46	44	113	53	116	68	74	104	73	63	385	153	164	134	122
ANXA3	4	3	13	5	21	364	3	6	3	2	11	290	5	46	22	4
ANXA4	274	1313	1050	438	764	435	26	13	35	31	55	302	106	151	93	55
ANXA5	224	903	836	579	723	1377	61	19	29	121	330	742	180	431	264	150
ANXA6	1373	964	915	152	979	3830	197	175	61	41	124	10278	143	338	162	66
ANXA7	324	2384	1740	2760	1956	1751	283	175	698	2636	2937	1373	971	2299	2075	2227
ANXA8	0	6	9	5	14	0	0	0	0	0	0	0	1	0	0	0
ANXA8L1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ANXA9	12	163	130	67	141	49	4	0	8	14	16	25	16	29	11	19
AOAH	125	5	10	5	20	449	29	49	7	4	14	1654	19	76	33	8
AOAH-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AOC1	0	2	0	0	0	44	0	3	10	1	2	73	4	1	2	3
AOC2	50	17	16	46	23	28	0	0	10	4	15	10	12	24	11	6
AOC3	8	9	6	47	8	9	3	1	2	5	3	11	8	17	3	7
AOC4P	5	1	1	5	1	0	0	4	5	1	2	4	3	0	3	4
AOX1	0	0	0	1	0	4	0	0	0	0	0	7	0	0	0	0
AOX2P	1	0	1	0	1	16	0	2	0	1	1	9	2	6	4	0
AP1AR	25	203	97	82	141	26	6	3	8	18	22	45	29	67	53	20
AP1B1	5787	3274	2458	2839	3155	4472	3948	3224	7740	2670	4916	8157	6351	10137	6062	5617
AP1B1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP1G1	596	975	613	1091	835	644	194	130	588	593	937	894	472	1039	769	705
AP1G2	4931	735	537	942	747	1327	178	150	333	126	157	1825	280	499	240	241
AP1M1	877	1440	1052	1231	1188	1717	501	372	1028	381	1034	2901	836	1191	965	969
AP1M2	0	0	1	4	1	0	1	1	0	0	1	2	1	1	2	0
AP1S1	453	1178	733	904	957	935	216	102	430	122	216	628	350	875	391	232
AP1S2	80	249	91	85	165	311	22	17	14	16	59	706	43	136	81	36
AP1S3	113	87	40	78	49	31	27	47	56	42	37	153	20	50	30	46
AP2A1	610	2429	2283	3344	3205	3199	2289	1844	9144	4849	12665	4439	5504	10578	7500	9176
AP2A2	330	45	38	80	36	91	99	25	241	114	124	183	51	103	58	114
AP2B1	2308	4312	3454	3323	5326	4494	2946	2467	9041	3469	8603	9159	6722	19260	7557	8005
AP2M1	6614	6846	5461	5722	7481	9247	11584	12942	26722	11459	16004	34224	14680	22925	21186	19078
AP2S1	4239	2186	1802	2562	2597	4402	9142	11040	15575	3143	3443	15374	6429	5925	9038	5959
AP3B1	68	778	509	727	669	441	56	15	231	140	306	411	192	403	327	305
AP3B2	2	0	0	2	2	2	0	0	1	0	0	5	0	1	0	3
AP3D1	1643	2183	1566	2958	1856	2305	861	486	2324	1331	2000	1750	1828	3568	1613	2114
AP3M1	343	842	507	581	690	599	130	76	318	163	398	768	316	640	392	389
AP3M2	347	254	146	262	234	245	47	53	245	64	144	358	198	505	223	138
AP3S1	67	881	670	860	759	419	50	30	175	117	264	661	213	398	304	303
AP3S2	1	14	14	8	19	13	1	1	3	4	20	5	13	15	10	6
AP4B1	2836	380	284	789	422	679	662	386	1681	542	791	1932	768	1745	1458	1206
AP4B1-AS1	2	13	7	20	8	5	5	4	6	4	11	10	6	8	6	7
AP4E1	87	249	210	373	253	183	92	58	340	174	431	323	312	497	388	355
AP4M1	233	182	236	207	275	255	230	218	740	133	426	682	405	867	752	499
AP4S1	324	268	188	349	251	201	116	122	255	187	221	409	161	347	213	238
AP5B1	1457	616	472	792	473	1199	365	450	966	215	520	4981	615	813	715	600
AP5M1	66	519	336	733	429	164	104	65	348	183	486	461	284	580	505	460
AP5S1	163	221	155	223	246	213	131	82	248	74	109	502	161	180	209	182
AP5Z1	5574	1073	930	1750	1028	3199	1226	935	1958	2556	1674	3539	1166	1982	1779	2060
APAF1	81	85	77	58	73	73	17	15	18	12	80	83	26	69	36	31
APBA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APBA2	26	2	0	3	2	0	1	1	1	0	0	5	0	0	1	0
APBA3	186	222	281	312	286	512	85	68	282	326	274	406	246	323	278	318
APBB1	25	9	14	16	14	40	9	12	22	16	19	38	12	32	11	9
APBB1IP	215	100	114	224	272	951	26	30	15	20	88	1223	36	171	71	31
APBB2	5	12	2	8	5	64	5	11	14	13	4	26	7	3	4	7
APBB3	576	152	135	271	216	406	41	30	100	31	82	367	97	365	81	157
APC	137	352	184	430	277	110	77	43	274	173	400	349	233	508	358	284
APC2	51	57	40	48	59	110	67	48	160	49	94	108	86	167	61	86
APCDD1	1	0	3	0	0	46	0	0	0	0	0	9	1	0	0	0
APCDD1L	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
APCDD1L-AS1	0	0	0	1	2	1	0	0	0	0	0	1	0	1	0	0
APCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEH	3592	3157	2308	2523	3341	3606	5703	5799	12687	3327	5336	12029	6946	10968	8186	7220
APELA	0	1	0	1	0	1	1	1	0	0	0	2	0	1	0	0
APEX1	813	3785	3254	4094	3899	3595	1370	629	3725	865	1626	7610	2727	4445	3194	2274
APEX2	1328	1030	952	1654	1188	1275	1731	1436	3582	1449	2967	3482	1996	4169	3449	2961
APH1A	296	2240	1532	1559	1971	2450	440	270	1028	411	1003	3290	1052	1894	1205	1083
APH1B	250	268	191	140	230	237	12	6	9	12	13	240	15	40	21	9
API5	747	1318	925	1175	1228	788	330	242	1012	383	853	1505	839	1406	1224	932
APIP	0	321	182	326	284	200	10	9	99	50	171	177	114	345	198	138
APITD1	128	110	88	228	94	84	66	62	212	41	78	217	126	230	211	124
APITD1-CORT	0	2	2	1	0	1	3	0	1	0	1	5	5	4	1	2
APLF	61	61	47	53	66	67	16	10	61	43	70	145	46	93	45	54
APLN	0	0	1	1	5	2	0	0	0	0	0	6	1	0	0	0
APLNR	37	1	13	7	36	22	134	36	59	4	154	74	246	287	124	9
APLP1	0	0	2	1	0	5	0	0	0	0	0	3	0	3	0	0
APLP2	1040	5952	4540	5873	5535	5513	1686	1149	5568	4066	9194	16567	4356	10051	6702	5932
APMAP	1513	1497	950	1235	1239	3325	427	246	895	300	794	4234	876	1493	1017	788
APOA1	79	0	0	2	3	12	3	2	3	5	1	15	2	0	2	1
APOA1-AS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOA1BP	1655	809	619	625	753	1246	616	318	691	153	191	2901	721	719	579	325
APOA2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
APOA4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
APOA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC2	0	10	32	60	46	58	48	34	127	216	501	43	66	135	153	300
APOBEC3A	4	2	7	15	6	10	4	13	14	68	26	30	9	9	14	45
APOBEC3A_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3B	61	469	336	766	534	116	38	37	316	258	531	251	443	283	499	477
APOBEC3B-AS1	7	4	4	9	0	1	0	0	1	0	3	0	5	0	2	2
APOBEC3C	267	787	556	641	765	309	234	388	674	234	621	531	554	839	620	554
APOBEC3D	427	87	74	129	119	105	75	103	193	64	100	303	68	145	131	106
APOBEC3F	388	126	134	207	109	193	212	162	484	149	234	503	222	341	265	240
APOBEC3G	94	249	207	378	297	183	72	55	279	158	295	322	189	353	358	284
APOBEC3H	85	20	40	27	49	31	3	6	12	7	9	36	14	36	38	17
APOBEC4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBR	7460	972	711	531	920	2992	631	290	162	89	124	7113	379	498	284	111
APOC1	19119	1971	2277	1313	1336	1804	6261	2431	3355	320	695	5702	2102	6437	2683	1156
APOC1P1	37	12	5	6	4	7	19	8	14	2	5	50	7	27	6	5
APOC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC4-APOC2	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0
APOD	0	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0
APOE	9554	1715	2080	803	2413	9442	10007	2989	3564	690	1002	9353	4577	9531	4240	2397
APOF	0	1	2	3	1	1	3	1	1	2	2	3	3	3	8	2
APOH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOL1	1026	778	696	504	579	835	747	275	1423	417	413	1182	914	1581	718	698
APOL2	3197	414	364	415	391	614	674	324	1678	977	888	902	683	1330	1099	1213
APOL3	362	133	211	241	258	555	725	616	2588	3453	3214	1708	1919	3960	2930	3456
APOL4	660	915	1114	635	850	1010	288	154	80	103	374	1536	747	2500	538	589
APOL5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
APOL6	129	142	78	129	131	328	115	342	414	263	751	507	208	1698	337	391
APOLD1	412	44	37	67	34	107	72	208	150	82	132	135	94	114	86	85
APOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOO	270	195	182	395	197	169	71	34	217	166	196	217	174	214	302	196
APOOL	155	256	183	259	272	78	59	61	191	89	212	285	137	458	282	166
APOOP5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
APOPT1	1122	412	301	600	368	526	392	451	762	220	348	1406	456	964	587	424
APP	654	1083	539	1202	784	1501	45	35	92	62	173	2139	87	256	114	125
APPBP2	46	259	172	253	219	183	29	15	48	170	166	217	83	140	155	117
APPL1	63	70	56	42	50	148	31	32	23	11	25	671	29	55	29	12
APPL2	183	282	265	390	256	319	61	51	311	704	947	259	260	600	502	502
APRT	4229	3121	2524	3483	3152	3816	3660	2644	5389	753	957	9031	3751	4645	3733	2192
APTR	157	51	59	100	71	114	22	7	61	150	72	104	52	92	90	87
APTX	1957	639	539	809	683	614	533	388	1242	391	530	1884	652	1035	1066	811
AQP1	61	83	307	565	565	923	2221	2054	13706	2770	10375	6069	5323	8154	8634	10227
AQP10	107	162	107	53	135	18	1	0	3	1	3	14	2	7	1	1
AQP11	104	44	32	30	32	21	1	5	14	1	9	19	14	30	15	9
AQP12A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP2	79	146	128	90	374	11	36	0	16	4	3	0	9	2	0	7
AQP3	373	1408	1224	1061	1841	894	675	404	2058	1083	2042	1078	1348	1764	1471	2747
AQP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP4-AS1	32	8	4	7	7	7	10	10	12	1	5	16	4	7	3	4
AQP5	0	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0
AQP6	31	2	4	9	6	5	12	12	28	8	12	22	8	11	7	24
AQP7	0	1	3	2	0	0	1	0	5	1	0	0	0	0	0	0
AQP7P1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AQP7P3	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AQP8	30	4	0	0	0	1	0	0	1	1	1	2	0	0	2	0
AQP9	0	0	3	1	21	216	11	3	4	13	22	256	19	26	18	3
AQR	276	605	384	885	554	317	61	52	201	131	416	283	261	562	276	318
AR	1	1	1	3	0	5	1	0	0	0	1	41	1	0	2	1
ARAF	5560	1367	927	1179	1325	1793	1102	665	1729	1219	1639	2538	1243	2273	1259	1620
ARAP1	3004	1269	1122	1260	1403	3270	624	617	1649	2168	1805	6422	1134	1749	1634	1609
ARAP2	0	24	13	40	25	29	4	4	12	7	56	101	11	60	28	19
ARAP3	106	3	3	3	7	109	3	7	2	0	8	986	0	13	4	2
ARC	16	4	3	2	3	1	0	4	1	3	1	5	0	1	1	1
ARCN1	482	1123	774	850	1015	1176	262	137	652	599	910	1519	600	1257	991	863
AREG	810	279	335	37	483	2204	11	5	15	11	24	990	24	98	54	14
AREL1	1054	996	636	1163	946	638	481	391	1315	481	1475	1884	927	1820	1277	1110
ARF1	1660	5835	4299	6979	5534	7847	1120	808	3707	4761	8332	5965	4070	8043	5450	5991
ARF3	2702	2045	1109	1334	1433	2220	206	85	191	77	178	2620	225	302	210	144
ARF4	398	1808	1394	2985	1974	1704	1007	771	2758	4961	6182	2474	2208	6837	4200	4667
ARF5	3418	2152	1855	2822	2304	3673	2795	2718	5891	1477	1981	9608	3442	4988	4392	3002
ARF6	413	3243	2194	2883	2728	1374	591	353	1974	1171	2729	1943	1633	3424	2612	2354
ARFGAP1	7867	1069	857	2036	1003	1830	1892	1812	3320	1307	1403	4292	1655	2436	1900	1950
ARFGAP2	6479	2093	1654	2063	2010	2760	2240	1661	4929	2480	2882	6122	2953	4409	3428	3399
ARFGAP3	178	480	340	395	398	434	109	67	536	157	452	706	350	879	522	465
ARFGEF1	214	517	366	481	452	378	122	59	204	174	304	837	197	494	289	232
ARFGEF2	122	564	326	509	439	230	49	14	221	212	507	205	257	585	440	384
ARFGEF3	16	3	3	6	1	3	2	9	5	6	11	15	0	10	7	3
ARFIP1	1	379	265	448	376	131	28	24	103	126	267	182	170	424	264	148
ARFIP2	981	935	745	1107	845	1061	389	296	912	630	773	1611	681	1052	884	831
ARFRP1	2193	581	499	731	583	1223	2188	2834	3125	726	929	4750	1502	2641	1713	1356
ARG1	0	80	176	325	140	138	78	48	239	6112	4330	387	299	289	1622	2338
ARG2	375	535	660	881	725	781	283	202	570	2149	2565	359	558	3303	627	1238
ARGFX	93	16	14	29	13	28	47	128	84	31	33	123	29	50	31	27
ARGFXP2	0	5	5	5	2	1	3	8	12	4	6	13	4	5	9	4
ARGLU1	719	1447	1124	2052	1365	1294	375	213	1224	623	1751	1991	1327	2782	1870	1512
ARHGAP1	961	936	487	597	749	1014	76	66	182	109	249	1087	179	428	189	205
ARHGAP10	243	77	55	68	55	170	35	24	41	6	28	228	28	78	50	42
ARHGAP11A	1	17	7	25	22	6	3	3	5	1	19	2	13	19	8	9
ARHGAP11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP12	44	167	139	155	128	29	7	5	29	23	49	150	30	81	43	55
ARHGAP15	726	1103	648	633	725	865	74	36	112	147	85	2816	132	299	166	162
ARHGAP17	644	679	502	748	725	709	117	99	310	297	395	875	279	592	385	415
ARHGAP18	211	499	309	285	341	193	88	35	177	72	136	432	136	355	211	122
ARHGAP19	156	594	581	708	737	630	392	339	1919	635	2719	1375	1409	3647	2148	1916
ARHGAP19-SLIT1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARHGAP20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ARHGAP21	506	308	150	343	245	182	77	54	170	77	239	174	136	351	111	116
ARHGAP22	306	7	11	111	43	210	44	7	33	5	15	517	23	24	38	10
ARHGAP23	0	2	1	3	5	0	1	1	5	2	18	2	4	14	11	16
ARHGAP24	0	0	2	1	11	44	0	1	0	0	1	37	0	9	0	2
ARHGAP25	1249	517	418	283	572	825	9	12	9	3	19	827	21	64	17	5
ARHGAP26	351	130	55	62	79	217	43	55	61	24	64	671	61	195	105	73
ARHGAP26-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP26-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP27	0	1	0	3	0	2	1	3	1	16	3	67	1	6	2	8
ARHGAP28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP29	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP30	846	378	383	123	511	2225	191	153	72	43	99	6718	154	359	154	63
ARHGAP31	156	88	45	51	84	230	10	6	15	8	49	89	18	30	33	15
ARHGAP31-AS1	23	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0
ARHGAP32	3	60	15	28	19	44	0	1	1	2	10	34	3	21	8	3
ARHGAP33	1375	376	427	945	493	817	502	450	1586	441	1447	750	1039	2437	769	1268
ARHGAP35	796	546	368	548	497	591	214	259	573	317	653	744	451	923	502	487
ARHGAP36	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ARHGAP39	51	23	23	16	20	9	4	0	2	0	1	5	9	2	2	3
ARHGAP4	7779	1220	797	1261	980	4222	497	435	213	119	130	10440	370	783	238	134
ARHGAP40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP42	0	24	20	11	17	14	8	2	13	44	61	22	12	24	36	54
ARHGAP44	26	8	5	12	5	10	2	0	5	1	2	6	8	9	3	7
ARHGAP5	63	206	135	211	164	69	27	20	83	30	213	57	98	247	139	123
ARHGAP5-AS1	31	16	7	26	8	14	2	0	9	0	6	5	8	23	2	5
ARHGAP6	36	164	94	121	162	89	3	0	7	6	10	22	30	32	6	9
ARHGAP8	0	0	0	0	1	1	0	0	2	0	2	0	0	2	1	2
ARHGAP9	1268	112	82	120	203	1466	72	104	23	25	76	6164	64	196	102	28
ARHGDIA	12709	4809	2712	3383	3768	9705	1644	1082	2028	1228	1265	9303	2005	2397	1834	1645
ARHGDIB	21631	4009	2407	3391	3560	14284	498	581	230	239	619	27026	593	1794	930	351
ARHGDIG	73	12	24	27	17	39	20	6	22	1	3	13	12	27	12	4
ARHGEF1	2639	1272	796	1423	1161	2960	200	154	513	131	433	3290	560	851	485	388
ARHGEF10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF10L	94	5	2	9	7	182	10	7	3	6	18	91	13	31	17	10
ARHGEF11	133	217	87	153	123	253	19	4	5	4	15	148	16	50	17	15
ARHGEF12	160	964	730	1829	1013	841	424	311	903	5648	4471	573	923	1800	2431	2685
ARHGEF15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF16	0	0	0	0	2	1	0	0	0	0	0	6	0	0	0	0
ARHGEF17	55	2	1	3	0	38	0	0	0	2	2	131	1	4	0	1
ARHGEF18	330	413	275	504	467	871	160	121	460	295	547	1279	366	626	347	405
ARHGEF19	87	70	59	115	109	85	87	60	224	26	85	387	93	395	92	73
ARHGEF2	3612	1554	1068	1224	1414	1941	845	997	2815	1540	2738	4329	1552	3631	2173	1793
ARHGEF25	0	0	0	1	1	2	0	0	0	0	0	9	0	0	0	0
ARHGEF26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF26-AS1	13	6	12	12	12	12	8	20	31	28	11	45	11	16	20	23
ARHGEF28	0	0	3	3	6	15	0	0	4	0	4	1	1	2	0	0
ARHGEF3	23	5	4	7	14	64	23	20	36	10	121	330	14	69	29	34
ARHGEF3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF33	0	3	1	2	1	0	0	0	4	0	2	3	2	3	0	2
ARHGEF34P	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ARHGEF35	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0
ARHGEF37	105	79	99	135	81	251	199	265	1135	1325	1062	487	323	1059	776	1001
ARHGEF38	0	1	0	1	0	0	3	0	3	0	0	8	1	5	2	1
ARHGEF38-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	438	269	257	614	294	257	150	254	799	192	974	471	470	1537	646	654
ARHGEF4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
ARHGEF40	181	18	12	7	26	258	7	6	4	2	14	470	12	62	17	11
ARHGEF5	0	0	1	1	0	34	2	0	1	1	0	12	2	3	2	0
ARHGEF6	1020	1904	1090	441	1064	1179	45	23	46	29	78	1286	118	340	72	69
ARHGEF7	531	586	313	719	507	617	89	58	257	133	455	721	226	524	264	332
ARHGEF7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7-AS2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ARHGEF9	377	113	86	101	118	197	11	9	61	9	46	183	52	105	61	32
ARHGEF9-IT1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ARID1A	371	1243	716	1337	970	827	406	516	884	746	1181	1724	613	1865	1015	832
ARID1B	113	549	356	605	466	304	104	55	248	279	589	456	322	819	424	380
ARID2	326	375	253	425	359	236	177	178	524	177	495	742	322	746	603	436
ARID3A	38	49	50	62	82	249	64	39	213	400	486	196	84	133	187	357
ARID3B	117	77	72	150	92	139	30	21	86	80	203	120	68	113	98	119
ARID3C	0	1	0	1	2	3	0	2	0	0	0	6	1	5	0	0
ARID4A	14	215	153	253	207	119	107	55	260	331	504	326	229	487	342	308
ARID4B	69	250	185	352	260	172	133	100	241	543	467	467	240	425	458	425
ARID5A	1061	273	146	171	245	855	174	126	248	55	146	1486	168	273	262	141
ARID5B	36	69	31	23	62	76	4	1	2	0	1	74	9	12	4	3
ARIH1	209	682	500	612	651	640	138	104	407	1041	1071	630	447	995	709	757
ARIH2	1718	1593	1105	1823	1297	1373	633	442	1692	1331	1833	2391	1347	2189	1885	1765
ARIH2OS	92	23	22	46	34	54	13	26	40	43	43	78	35	75	46	61
ARL1	301	649	408	811	533	323	83	53	282	116	267	544	247	537	482	339
ARL10	0	0	0	0	0	1	0	0	0	1	0	8	0	6	0	0
ARL11	35	28	32	19	29	204	15	22	17	10	20	231	17	47	13	18
ARL13A	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1
ARL13B	3	160	75	202	103	30	8	5	37	59	115	34	44	106	62	76
ARL14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL14EP	647	241	182	385	247	210	84	66	246	97	126	584	166	294	231	196
ARL14EPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL15	56	274	108	130	163	41	7	9	32	33	153	28	46	92	64	58
ARL16	2348	330	303	500	166	580	668	508	540	150	294	2517	452	761	477	324
ARL17A	0	8	3	10	9	3	14	7	4	9	1	62	10	33	1	12
ARL17B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL2	2654	842	902	1221	1046	1818	1297	1246	2201	349	482	2823	1417	1484	1376	774
ARL2-SNX15	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ARL2BP	202	1338	862	1305	1182	602	310	176	1167	374	946	758	636	1072	1084	996
ARL3	83	297	284	154	304	295	86	50	229	53	75	584	155	200	213	154
ARL4A	1120	1925	1331	2472	2117	1986	1575	879	2465	20891	9923	2269	1804	2160	6998	7726
ARL4C	80	24	10	0	7	507	7	3	4	4	18	148	19	63	33	7
ARL4D	0	10	12	14	16	30	12	14	25	4	26	57	28	25	42	22
ARL5A	35	576	336	492	457	174	115	73	380	130	385	497	310	849	452	319
ARL5B	0	54	38	73	45	47	7	21	33	54	63	51	23	106	50	56
ARL5C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL6	6	21	9	21	25	12	2	2	13	2	11	23	10	15	6	11
ARL6IP1	426	3586	2760	5124	3695	1692	679	581	3827	4311	13321	2689	4422	11268	7982	7891
ARL6IP4	11500	2822	2315	2489	2753	5462	5588	5762	8523	1425	1581	17206	3984	6166	4635	3014
ARL6IP5	1282	1411	1051	1137	1320	983	349	345	1118	442	996	3356	813	1790	1330	929
ARL6IP6	71	362	252	348	375	174	104	78	236	115	613	220	261	766	437	354
ARL8A	225	325	233	157	246	931	55	31	75	39	83	950	68	330	107	81
ARL8B	2511	2819	1699	1880	2317	1502	498	301	1116	995	1521	2596	791	2737	1473	1304
ARL9	15	14	30	54	25	19	131	85	267	41	59	100	88	80	124	135
ARMC1	29	610	438	945	588	134	254	83	704	284	905	543	497	969	973	674
ARMC10	0	97	62	53	85	42	8	3	18	15	59	19	33	76	33	32
ARMC12	254	16	15	28	38	77	2	2	7	1	1	45	4	6	4	2
ARMC2	11	30	14	25	22	12	3	13	14	2	12	15	12	16	17	19
ARMC2-AS1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARMC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMC4	5	2	5	5	2	5	1	10	16	2	4	8	4	8	13	6
ARMC5	2652	486	292	563	427	573	716	641	1284	372	373	2327	478	562	586	556
ARMC6	1526	1201	887	1427	1172	1065	859	568	1745	639	1096	2769	1019	1904	1387	1150
ARMC7	357	268	172	277	233	441	186	113	199	92	101	1172	155	197	185	135
