Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
TCEA3	0	3	2	7	3	4	0	0	0	2	1	1	3	0	0	2
TCEAL1	0	127	81	105	102	80	3	5	15	4	17	68	24	65	34	17
TCEAL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL3	128	112	76	86	75	213	20	1	33	18	10	207	38	28	29	27
TCEAL4	709	465	324	498	365	767	81	32	71	21	29	633	52	156	50	33
TCEAL5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
TCEAL6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL8	1312	526	387	566	576	459	76	45	142	43	107	836	153	262	174	125
TCEANC	40	61	71	78	84	288	110	88	296	1683	1070	195	178	381	565	622
TCEANC2	114	163	127	149	166	194	94	49	149	58	122	446	134	191	157	117
TCEB1	579	735	612	1424	790	709	447	270	1226	528	852	1496	1003	1333	1548	1048
TCEB2	10734	1695	1797	3414	2069	3992	9872	10448	10911	4889	2852	19787	6008	5507	6798	4691
TCEB3	407	685	503	931	638	525	157	80	545	326	590	812	542	914	647	605
TCEB3-AS1	0	22	27	31	28	34	5	3	10	25	32	21	21	40	19	31
TCEB3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB3CL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEB3CL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCERG1	234	1340	793	2264	1076	444	89	64	530	238	1036	606	628	1378	963	829
TCERG1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCERG1L-AS1	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF12	8	356	251	288	372	169	34	25	106	60	414	231	165	621	197	241
TCF15	95	3	16	10	18	10	10	16	36	2	2	198	14	30	15	10
TCF19	0	0	17	0	0	0	0	0	0	0	43	0	0	0	0	41
TCF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF25	6729	1923	1416	1758	1821	2690	1394	916	2337	824	946	4019	1518	2367	1575	1296
TCF3	2143	3280	2329	5383	3427	2717	1634	881	5595	3111	6349	2847	4380	7642	5250	5611
TCF4	220	138	114	86	134	107	40	21	44	13	25	284	46	46	65	26
TCF7	21	7	8	9	6	11	17	5	21	30	13	26	3	7	19	26
TCF7L1	0	1	3	5	8	20	4	0	13	1	4	28	5	19	3	3
TCF7L2	0	7	10	25	12	25	3	7	7	5	34	132	5	29	4	7
TCFL5	45	291	205	289	250	232	46	46	225	70	197	276	179	478	223	187
TCHH	27	2	1	7	6	15	4	1	0	2	0	6	0	0	0	0
TCHHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCHP	619	509	311	708	380	315	287	170	435	123	341	367	376	694	364	317
