"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"NIPAL3",9.75262065898425,9.80975456187627,9.74906114323792,9.71840220541312,9.7598197126846,10.1151703408269,9.79272763898994,9.43793897218656,9.6942363942101,9.11135911799767,9.91720551461543,10.1688618161264,10.29386603594,9.94896860355068,9.39490806899466,9.39482109789782,9.68623159025144
"LAS1L",9.33225351739313,9.37112443247146,9.34776721658953,9.35881869070793,9.46682525890752,9.1386904957216,9.28293141898071,9.10556284796075,9.37720463070315,9.4172741964541,9.36802402054859,9.38352933960499,9.40728813689366,9.29391937006596,9.31865354175653,9.11977795891784,9.35943696740748
"ENPP4",7.82959953711007,7.68549095303591,7.87903037179444,7.91042174060903,7.88068866636103,8.47318372880059,7.97411370231758,7.52743413294552,8.08369420581286,7.36704281465253,7.10723430585813,7.94620115903059,7.95421980523719,8.61011152148722,7.38328619841025,8.01640461710961,7.83833687468972
"SEMA3F",4.65870664115988,4.30856270571816,3.96838625440929,4.44888980823965,3.96838625440929,4.6194297754068,4.65064227683841,3.96838625440929,4.39586792411711,4.36262442046824,4.75440541011528,3.96838625440929,3.96838625440929,3.96838625440929,4.40479712800637,4.37347058526302,3.96838625440929
"ANKIB1",9.2188340134417,9.08536896111545,8.99923112210477,8.96212382352889,9.47576016053738,9.52277500443016,9.34230038998975,8.87824265342451,9.1742362500037,8.90008340073839,9.02287934490544,9.34419321325815,9.42417101215426,9.4858483231613,8.730465078637,8.95606656004924,9.02206429611531
"CYP51A1",5.14279911661068,5.28597566085919,4.84406843233265,5.43140522791381,5.51474107289032,5.31210730529328,5.06623488467977,5.38493630097272,5.54972072028875,4.5242155091606,5.24588500563291,5.19289728790751,5.63975653053345,5.19606885492386,4.71867351035519,4.86276959853434,4.89460817739097
"KRIT1",9.07304598464289,9.23531971354504,8.76268494737457,8.75509496216855,9.2232936219744,9.2708496281412,9.28293141898071,8.67796609491175,9.06651629110887,8.87135325149714,8.96212328631091,9.28606805390223,9.10488899026787,9.37138092779164,8.62877550620531,8.81580309639004,8.83414883239265
"RAD52",7.30012139802808,7.7634431362398,7.59664655171402,7.61224587349034,8.05830610784669,7.73700301228179,7.91112183127717,7.51568346736555,7.99219262490389,7.27047379458211,7.79372453258121,7.50900153484166,7.47749435131198,7.6625706002769,7.42054052624324,6.921350330373,7.0729833931247
"BAD",8.71127591950872,8.08130603022105,8.73774958475382,8.33635509315273,8.31938656113203,8.15184168594769,8.18983378226972,8.55206792064519,8.30249538971082,8.59199598292135,8.20356903174055,7.86882008256953,8.0057690230735,7.85076736179488,8.88397327526406,8.75895021747982,8.45566311489443
"LAP3",9.97667697865136,10.0934376867748,10.4892601770664,10.1453426964387,10.0093746883405,9.94683231529488,10.1061533602712,9.94165185794883,10.7459884652635,10.6524710003654,10.06406600744,10.7429957936345,10.761304770451,9.82359697659094,11.1746780656073,10.4280343730115,10.6663803603043
"CD99",11.873531844763,11.4767720271426,11.8947524863469,12.1494509539754,12.0376611026082,11.4592667443481,11.3904926257583,11.9314888270577,11.6851428209951,11.8165094238345,11.4066815952818,11.7801689970316,11.7562579968082,11.1168130813731,12.2974066640661,11.9915818302877,11.9725491887045
"HS3ST1",5.84508775192124,5.98372092758294,5.47136591417546,6.2875470781044,5.72930935937115,6.40271416047183,5.72304357924975,5.78365151424831,6.75419136872547,6.61773658057233,6.97498512190234,6.42179324554162,6.28719303318396,6.7989718902923,6.29844986450679,6.13018024095729,6.11914197257907
"AOC1",7.12028287211286,4.44836692292525,5.76274219197191,5.82741084261325,6.56415191523403,4.3463818234328,4.52715231595466,7.02744215461651,5.84554811885915,4.74973375751341,6.98878592811271,5.68167153182403,5.32868709171803,5.39318907829892,5.24095729499085,3.96838625440929,4.62884746062829
"WNT16",5.50429721489758,5.82561123125256,4.89547694649999,5.46463656000471,5.08671302067573,5.52260496348766,5.2449589213504,5.18882230053866,5.50068826863436,5.06065785995831,4.65115951663548,5.34597055643409,5.34960939791409,5.65903987832986,5.172223439497,5.08948370295072,4.89460817739097
"HECW1",3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,4.34945651660655,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,4.84456435556125,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929
"MAD1L1",10.0547416569465,9.69265439455644,9.72897715264888,9.51391619435006,9.7076892509332,9.8805454438679,9.8440286669812,10.0077010108943,9.56830350553638,10.5429864557255,9.8311697287204,9.63703961853925,9.86533340300849,9.3076935692838,10.3456446081533,9.56070136959366,10.3101684477749
"LASP1",13.0649266878952,13.3875374349933,13.3714629878456,13.3243392204868,12.7913534889949,12.6374886979558,13.0993549527454,13.816587462597,13.5579920467331,13.1851329780107,13.6618160821783,12.969467727337,12.9308376042345,13.3096826200063,13.389612145577,13.433343812171,13.1367025931563
"SNX11",10.1736015653309,10.1152138140762,10.5484621170386,10.0399909801068,9.82068713858616,9.80235667972571,10.0699050457238,10.7818185914107,10.4212608013303,10.3393008156547,10.4429650019326,9.93049621928374,9.97606773007672,10.4509126806681,10.2272861842621,10.5739190736187,10.1895467022527
"TMEM176A",9.13689522542412,6.26847825260468,9.76640802077784,9.21297409842376,9.35504878344728,6.99698880018903,6.19239256889897,10.319270434974,5.39572047392059,5.67870925799165,7.10723430585813,5.92145918258272,5.91140041144306,8.95331678834292,7.22361889499142,5.7210370674364,6.44139433807151
"M6PR",11.5784581178001,11.569338712991,11.4591915723473,11.5346256418282,11.2598801251477,11.5633981343781,11.3955945918137,11.1831217530608,11.4383327641281,11.2408027360572,11.6225374470828,11.5424054832879,11.6836640515003,11.30186257895,11.6139312392291,11.3002661172428,11.6703603113345
"KLHL13",5.81163481223995,5.02297553097362,5.67336661822671,5.36177644808346,5.34549001171898,5.162370439656,5.06623488467977,4.9435809817343,4.99738263261809,5.34180625143763,5.75935495952949,5.41492578210812,5.3902706380133,5.12085500703598,4.58325605016655,4.94513689997932,5.46311029455843
"CYP26B1",3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,4.36472021386108,3.96838625440929,3.96838625440929,6.38642860302836,3.96838625440929,4.30480017357658,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929,3.96838625440929
"ICA1",6.35559225821533,6.58615502582192,6.11684803594209,7.01462370512461,6.45670990722676,6.80463673196944,6.0633426764657,6.38090984690825,6.08412036046329,7.27047379458211,6.63053115700543,5.80738862036119,5.80425408124978,6.13864615086566,6.21313543398825,6.15683757821443,6.19016594390581
"DBNDD1",7.24268441275645,7.21495668909117,7.15548317569603,6.97436209789676,7.23371624665028,7.00932662117965,6.94524255288721,6.43320225188182,7.52074883412186,7.5606565927016,7.45256648087353,6.83034253234745,6.86515714460482,8.05576014433011,7.26525738510691,6.63885417911371,7.29090091010872
"ALS2",8.35064186431202,7.96452319634841,7.9975198681059,7.71266281525521,8.29935532516318,7.54455872401767,8.33001784081533,8.09054604353941,8.31512314887181,8.12814906259117,8.43510974775526,7.90027659067525,7.86705269005655,8.21322325018732,7.79546478236352,8.02333459440201,7.69384197950093
