E2F1,DROSHA,activator
E2F1,DUSP1,activator
E2F1,E2F6,activator
E2F1,ERCC1,activator
E2F1,ERCC5,activator
E2F1,FANCA,activator
E2F1,FHIT,repressor
E2F1,FOXM1,activator
E2F1,HIC1,activator
E2F1,HMGA1,activator
E2F1,HSPA5,repressor
E2F1,IRF3,repressor
E2F1,ISYNA1,activator
E2F1,KIF2C,activator
E2F1,KIF2C,repressor
E2F1,LRBA,activator
E2F1,MAP1LC3A,activator
E2F1,MAP3K5,activator
E2F1,MCL1,repressor
E2F1,MCPH1,activator
E2F1,MDM2,repressor
E2F1,MEFV,activator
E2F1,MYBL2,activator
E2F1,MYC,activator
E2F1,NPAT,activator
E2F1,NRIP1,activator
E2F1,PCNA,activator
E2F1,PCSK6,activator
E2F1,PDK4,repressor
E2F1,PLK1,activator
E2F1,PNRC2,repressor
E2F1,RASGEF1B,activator
E2F1,RASGRP1,activator
E2F1,RB1,activator
E2F1,RBM38,activator
E2F1,RRM1,activator
E2F1,RRM2,activator
E2F1,SIVA1,activator
E2F1,SIVA1,activator
E2F1,SKP2,activator
E2F1,THBS1,activator
E2F1,TOP2A,activator
E2F1,TP53,activator
E2F1,TP53,repressor
E2F1,TP53BP2,activator
E2F1,TP53INP1,activator
E2F1,UHRF1,activator
E2F1,ULK1,activator
E2F1,VEGFA,repressor
E2F1,XRCC1,activator
E2F3,AURKA,activator
E2F3,CDKN1A,activator
E2F4,BRCA1,activator
E2F4,BRCA1,repressor
E2F4,HCFC1,activator
E2F4,MCM10,repressor
E2F4,PLK1,repressor
E2F4,RAD51,repressor
E2F4,TOPBP1,repressor
E2F6,APAF1,repressor
E2F6,E2F1,repressor
E4F1,CCNA2,repressor
EAF1,ELL,activator
EGR1,ALOX5,activator
EGR1,ALOX5,repressor
EGR1,ATF3,activator
EGR1,CDK5R1,activator
EGR1,CDKN1A,activator
EGR1,CXCL8,repressor
EGR1,EAPP,activator
EGR1,EP300,activator
EGR1,FAS,repressor
EGR1,FCER2,repressor
EGR1,GDF15,activator
EGR1,HIF1A,activator
EGR1,HPSE,activator
EGR1,IGF2,activator
EGR1,LDLR,activator
EGR1,LMTK2,activator
EGR1,MYB,repressor
EGR1,NAB2,activator
EGR1,PDGFC,activator
EGR1,PLAUR,activator
EGR1,PTEN,activator
EGR1,PTGS2,repressor
EGR1,RBL2,activator
EGR1,SLC4A2,activator
EGR1,SOD1,activator
EGR1,STIM1,activator
EGR1,TCF4,activator
EGR1,TMPO,activator
EGR1,TNF,activator
EGR1,TNFSF10,repressor
EGR1,TP53,activator
EGR1,UBE2S,activator
EGR1,VEGFA,activator
EGR1,VEGFA,repressor
EGR3,CAT,activator
EGR3,NAB2,activator
EHMT2,RUNX3,activator
EHMT2,SIAH1,repressor
ELF1,FCER1A,repressor
ELF1,FLI1,activator
ELF1,MEIS1,activator
ELF2,VCP,activator
ELF3,MMP9,repressor
ELF4,CXCL8,activator
ELF4,CXCL8,repressor
ELF4,HBD,activator
ELF4,MMP9,repressor
ELF4,TP53,repressor
ELK1,EIF2AK1,activator
ELK1,EZH2,activator
ELK1,FOSL1,activator
ELK1,PSEN1,activator
ELK1,TNFRSF10B,activator
ELK4,FOS,activator
ELL,BAX,repressor
ELL,CDKN1A,repressor
ELL,E2F1,repressor
ELL,MDM2,repressor
ENO1,MYC,repressor
EP300,ALOX15,activator
EP300,BIRC5,activator
EP300,BIRC5,repressor
EP300,BRCA1,activator
EP300,CDKN1A,activator
EP300,CYBB,repressor
EP300,DNMT1,activator
EP300,EIF2AK1,activator
EP300,HINFP,activator
EP300,MMP9,activator
EP300,MYC,repressor
EP300,PCNA,repressor
EP300,PTGS2,activator
EP300,TBXAS1,activator
EP300,THBD,repressor
EP300,TRIM22,activator
EP300,VEGFA,activator
ERCC2,BAX,activator
ERCC2,BCL2,repressor
ERCC2,CDKN1A,activator
ERCC2,LAMTOR5,repressor
ERCC2,TP53,activator
ERF,ETS2,repressor
ERF,UTRN,repressor
ESRRA,NRIP1,activator
ETS1,ANPEP,activator
ETS1,BAX,repressor
ETS1,CASP1,activator
ETS1,CD8A,activator
ETS1,CHUK,activator
ETS1,CSF3R,activator
ETS1,ECE1,activator
ETS1,EGR1,activator
ETS1,FLI1,activator
ETS1,GP6,activator
ETS1,IL2RB,activator
ETS1,CIP2A,activator
ETS1,LCK,activator
ETS1,MDM2,repressor
ETS1,MMP9,activator
ETS1,MYB,activator
ETS1,NDRG1,repressor
ETS1,NKX3-1,activator
ETS1,PARP1,activator
ETS1,PARP1,repressor
ETS1,RHOC,activator
ETS1,TBXA2R,activator
ETS1,TBXAS1,repressor
ETS1,TGFBR2,activator
ETS1,TMEM158,activator
ETS1,TNFSF14,activator
ETS2,ANPEP,activator
ETS2,CHRNE,activator
ETS2,CSF3R,activator
ETS2,CXCL8,activator
ETS2,FLI1,activator
ETS2,ICAM1,activator
ETS2,LCK,activator
ETS2,MDM2,activator
ETS2,MMP9,activator
ETV3,NFKB1,repressor
ETV3,RELA,repressor
ETV6,BBC3,activator
ETV6,CDKN1A,activator
EWSR1,TGFBR2,repressor
EZH2,ADRB2,repressor
EZH2,ALDH1A1,repressor
EZH2,APC,repressor
EZH2,CDH1,repressor
EZH2,CDKN1A,repressor
EZH2,CIITA,repressor
EZH2,HDAC1,repressor
EZH2,KPNB1,activator
EZH2,MST1,repressor
EZH2,MYC,repressor
EZH2,PCNA,activator
EZH2,PEBP1,repressor
EZH2,PIP5K1C,repressor
EZH2,RPLP0,activator
EZH2,RUNX3,repressor
EZH2,SATB1,repressor
EZH2,TP53,repressor
FHL2,CDKN1A,activator
FHL2,CDKN1B,activator
FLI1,EYA3,activator
FLI1,FLI1,activator
FLI1,FOXM1,activator
FLI1,GATA1,activator
FLI1,GP6,activator
FLI1,GP9,activator
FLI1,ID2,activator
FLI1,TGFBR2,activator
FLI1,TGFBR2,repressor
FOS,CASP9,activator
FOS,CLU,repressor
FOS,CREM,activator
FOS,DDIT3,activator
FOS,EZR,activator
FOS,FAS,activator
FOS,FOS,repressor
FOS,HSPH1,activator
FOS,MMP9,activator
FOS,MMP9,repressor
FOS,MYC,repressor
FOS,NFKB1,repressor
FOS,PTGS2,activator
FOS,SMAD7,activator
FOS,SPI1,repressor
FOSB,CXCL8,activator
FOSB,TIMP1,repressor
FOSL1,ITGAV,repressor
FOSL1,ITGB3,repressor
FOSL2,BCL6,activator
FOSL2,BRCA1,activator
FOSL2,FOSL1,activator
FOSL2,MDM2,activator
FOSL2,MYB,activator
FOSL2,TIMP1,repressor
FOXM1,BTG2,activator
FOXM1,CCNB1,activator
FOXM1,CDC25B,activator
FOXM1,MYC,activator
FOXO1,ADIPOR1,activator
FOXO1,CDKN1B,activator
FOXO1,CXCR4,activator
FOXO1,EGR1,repressor
FOXO1,TNFSF10,activator
FOXO1,TXNIP,repressor
FOXO3,BCL6,activator
FOXO3,CCND2,repressor
FOXO3,FOXM1,repressor
FOXO3,SIRT1,activator
FOXO3,SIRT6,activator
FOXO3,TNFSF10,activator
FOXO3,TXNIP,activator
FOXO4,BCL6,activator
FOXO4,CREB1,activator
FOXO4,HIF1A,repressor
FOXO4,SOD2,activator
FOXO4,TNFSF10,activator
FUS,DDIT3,activator
FUS,MDM2,repressor
GABPA,TOMM70,activator
GATA1,AGGF1,activator
GATA1,BACH1,activator
GATA1,BST2,activator
GATA1,CBFB,repressor
GATA1,CDA,activator
GATA1,CEBPA,repressor
GATA1,CYBB,activator
GATA1,DACH1,repressor
GATA1,DICER1,activator
GATA1,EPOR,activator
GATA1,FCER1A,activator
GATA1,GATA1,activator
GATA1,GP6,activator
GATA1,GP9,activator
GATA1,GYPB,activator
GATA1,HEMGN,repressor
GATA1,SPI1,repressor
GATA1,TBXA2R,activator
GATA2,CYBB,repressor
GATA2,FCER1A,activator
GATA2,GATA1,activator
GATA2,MS4A2,activator
GATA2,SPI1,repressor
GFI1,BAX,repressor
GFI1B,MEF2C,repressor
GLI1,BCL2,activator
GLI1,BCL2,repressor
GLI1,CDK2,activator
GLI1,EGR2,repressor
GLI1,FAS,repressor
GLI1,SOCS1,activator
GLI1,TNFRSF10B,repressor
GTF2I,HSPA5,activator
GTF2I,SIRT1,activator
GTF3A,BAG3,activator
HAX1,ATP2A2,repressor
HBP1,CDKN1A,repressor
HBP1,DNMT1,repressor
HBP1,NCF1,repressor
HCFC1,E2F1,activator
HCFC1,E2F4,repressor
HDAC1,BCL2A1,activator
HDAC1,BIRC3,activator
HDAC1,CCND2,repressor
HDAC1,CD1D,repressor
HDAC1,CD44,repressor
HDAC1,CD82,repressor
HDAC1,CDH1,repressor
HDAC1,CDKN1A,repressor
HDAC1,E2F1,repressor
HDAC1,EGR1,repressor
HDAC1,EIF2AK1,repressor
HDAC1,FOS,repressor
HDAC1,HLA-DRA,repressor
HDAC1,HSPA5,repressor
HDAC1,ICAM1,activator
HDAC1,KLF4,repressor
HDAC1,MMP9,repressor
HDAC1,PCNA,repressor
HDAC1,PTGS2,activator
HDAC1,RELN,repressor
HDAC1,RHOB,repressor
HDAC1,RUNX3,activator
HDAC1,RUNX3,repressor
HDAC1,SP1,repressor
HDAC1,TP53,repressor
HDAC1,TXNIP,repressor
HDAC2,ALOX5,activator
HDAC2,APAF1,repressor
HDAC2,CD1D,repressor
HDAC2,CDH1,repressor
HDAC2,CXCL8,repressor
HDAC2,DNMT1,repressor
