"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"STPG1",5.18936484601901,4.93391326950854,5.34404806319515,4.78703815797264,4.42735943088858,5.19837254060963,5.14225636090442,4.85006669913342,4.4880160510791,5.42262840941901,4.64603774536437,4.85262183444454,5.42545920942879,5.12590764222156,4.81715359769448,4.60261553394817,5.08540840371373,4.95384738877742,4.80580332779407,5.14840484647588,4.99011791299211,5.2074765137887,5.12101120605295
"NIPAL3",8.10869902874189,7.69099050318437,8.09626338940578,7.09189816938213,7.54784713814948,8.42271098538414,7.86342163938167,7.80417187907385,8.16782649790299,7.99041166690869,7.65428935636226,7.81570037655273,8.20324937065769,7.8268845652608,7.81658144405135,8.08728340037163,7.94452304847665,8.0092950397579,8.24603675793522,8.25420992189578,8.2136828492987,7.83934432502406,8.72763462627516
"LAS1L",7.58363952421466,7.62919439820129,7.64854431772147,7.00221948573982,7.27901384492057,7.5255369473207,7.30261713090485,7.87324059309552,7.34323978201544,7.82753642547926,7.44707381564876,7.49960110595905,7.58941280388941,7.47772781507059,7.35016121790024,7.71594856107384,7.41018746437285,7.67693610337167,7.88478749458204,7.89323022646435,7.50550512352661,7.6694461736444,7.63978191218683
"ENPP4",6.80106440793,5.95040540041461,7.36953173816668,6.44252331240484,5.97437962751519,6.9589664040752,7.2576501085954,6.39695780494851,7.27187208962401,6.83074364426937,6.77996586901636,6.96104485345028,6.81569867514082,7.34555845734919,7.02388741519375,6.02980448383183,6.5360539340925,5.87647816059671,6.83566898402697,6.85893272799328,7.030401606765,7.60320189818976,6.95250328225025
"SEMA3F",3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.7500435020233,3.20179343847135,3.20179343847135,4.12583606910369,3.20179343847135,3.20179343847135,3.77873357797533,3.20179343847135,3.87325780036621,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135
"ANKIB1",7.93650043282274,7.62344249606565,7.87177615823103,6.44252331240484,7.3007509699442,7.87655505485555,7.38852759927879,7.43917735222574,8.38580920849138,7.85599553362798,7.73877707214519,8.06398207379248,7.52505760875942,7.8268845652608,7.8048193843648,7.70670834841928,7.57992042370047,7.33402733721179,7.78746250617799,7.79242100579432,7.82820485391781,7.92701095835501,8.01931102059891
"CYP51A1",4.1457170929055,4.03357743757049,4.80432451772162,3.20179343847135,4.6040403668176,4.32162202791265,4.22523631535733,3.93553915074388,4.4880160510791,4.53189882283622,4.71414489293646,4.4199385894359,3.20179343847135,4.82062773108916,4.81715359769448,4.60261553394817,4.42829671333663,3.75964233691547,4.80580332779407,3.91403440009149,4.45201985183322,4.38229331957218,4.16758390103545
"KRIT1",7.78965160184422,7.29454708239973,7.76448911152632,6.50953408228146,7.12906036453549,7.68206873343441,7.67141994660352,7.46926788354573,7.73657722708497,7.72103538793687,7.33341293003165,7.67865424479223,7.57888524959092,7.71965759685769,7.39012323353067,7.57068840533682,7.58583719542194,7.13314621725494,7.41312434528791,7.40036187570154,7.71321211069131,7.56889767987016,7.77018987756921
"RAD52",6.76880319912684,5.81243721581576,6.00008898326312,5.19139898252876,5.85953816189692,6.37204444769465,6.18504240566664,6.28747287513124,6.57931660936338,6.21059537560949,5.81872385908435,5.96057862821118,5.87959498774653,6.07038256510685,6.27827677076163,6.23953314314561,6.02130321157884,5.728494798219,5.21381155723477,5.91846011215741,6.17075579274875,6.23331040936302,6.65228823427381
"BAD",6.48034105739045,6.78643845779126,6.55077042923709,8.6090341856555,6.67469094285241,6.39556364357913,6.74045508791579,6.84468131268044,6.38859718531607,6.378871702273,6.70849809575711,6.53985674197432,6.96922997322348,6.09967198695436,6.58645804860035,6.49953791234402,6.66544434293215,6.64002989406037,6.51801197751145,6.2410498558025,6.19771145099003,6.30738129436868,6.8699556542787
"LAP3",8.95107088783668,10.1287282890598,8.60196945094516,8.6240791968763,9.76884312322476,8.66515872175463,8.36430816085684,9.6286138078781,8.48356085255765,9.28918018159852,9.67981144141684,9.22718685701445,8.51583833903832,9.97916869848953,9.50099684286336,8.61458357333095,10.0669870013448,8.58166972123239,9.33985830135238,8.80878414153497,9.13026294516894,10.2896889983314,8.40568783318385
"CD99",9.29465111347223,9.96930094228986,9.76290252641973,10.815387665373,10.2048475884233,9.14362401335321,10.3091819957039,10.2406609988496,9.54805474611784,9.61908499087178,9.91308784433248,9.72265300052905,10.2002622968711,9.83914329612336,9.66425551012801,10.035114856758,9.71634506055373,10.3686217163946,10.0996979678859,9.75661463753308,9.81488529972321,9.94735503273485,9.76054194222139
"HS3ST1",5.43920341676183,4.29136422360645,4.70292012827098,5.74529915266593,4.08102332369386,5.39007648436509,4.621695005152,5.14849619962344,4.96904641906666,4.86003929136669,4.57342768033333,5.36457678225043,5.32327340874697,4.78134049338432,4.58578112556244,4.92359596319905,5.08540840371373,4.29790067021562,4.88406699851093,4.98892525111431,4.88643615347826,4.96941022472974,5.33148108818257
"AOC1",4.83242137310179,4.55066508725766,3.20179343847135,3.20179343847135,3.71460537053198,3.7500435020233,3.93289885246238,4.09578916658432,4.12583606910369,3.95734903099726,4.31903511488752,3.86653857361279,3.76045889046872,5.12590764222156,3.20179343847135,3.87003359966719,4.03277457318975,4.62813029103755,4.80580332779407,3.20179343847135,4.27663539798429,4.62932502439835,3.95534370724294
"WNT16",4.04897921789082,3.20179343847135,3.94755338353267,3.20179343847135,3.71460537053198,4.27965908871592,4.44305760699067,3.93553915074388,3.20179343847135,4.74789259053763,4.10086288903714,3.86653857361279,4.5312622585414,3.7516691570467,3.20179343847135,4.13874523537569,4.21284339026927,4.29790067021562,3.98772782137993,4.41218447080578,4.77282161872737,3.74142969747412,3.64013037388862
"HECW1",3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.76045889046872,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.76092464089745,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135
"MAD1L1",8.04762836910922,8.12445314540202,7.9024612626733,8.98030076945915,7.55689818326337,7.66301037619325,7.42962659901578,8.60372516180319,8.31675032100125,7.97936987106965,7.37996381685569,7.89025108614244,8.17560498477614,7.55779805179054,7.73215160066943,7.64030764843605,7.66061615244409,7.76287351323387,7.67318999628426,7.50430860237515,8.03749208365024,7.84344726632685,7.69456839246958
"LASP1",11.0758773506823,11.7714159541357,10.9862528068828,10.435373658641,11.5625932452409,11.0294818875802,10.9745940493079,11.1570577581163,10.765403837459,11.019183357396,11.4405479503619,10.8467168066091,10.8532184934306,11.4187532308754,11.305521762986,11.4072045148662,11.5149354263999,11.7728383627487,11.3933020039399,11.0273052815097,11.2567515725933,11.3082942508632,11.0773302847943
"SNX11",8.01153096049363,8.44742484738709,7.64854431772147,9.03759543517173,8.66492249054814,8.0256554765262,7.81777124835026,8.25874636097726,8.04506472398162,7.80685803418239,8.35354152413991,8.10106014750784,7.79434664857488,8.29654374644277,8.34899540922906,8.28321434374712,8.48002793542136,8.46132076565872,8.39152249820376,8.04489183086706,8.00026416734164,8.20396661819543,8.05693885886443
"TMEM176A",7.31363399142849,5.22338589152051,4.85186952045853,3.20179343847135,5.76662666487812,4.43743944126705,4.91025888608003,5.09432157195874,4.4880160510791,4.31992749074529,6.91929416768026,4.37796473030972,7.00121460872084,7.5629805668109,4.81715359769448,5.28565299235008,5.65698061474733,7.65712033046151,7.49396268782353,4.41218447080578,7.46229343674836,8.41426580107778,4.25601770403198
"M6PR",9.72310275195496,9.87944536569217,9.81617819270724,7.43770622594876,9.75909511979373,9.75446664368663,9.74946480291639,9.8251403398312,9.48654054619051,9.76322757381104,9.98165090041609,9.72604434848916,9.68719147902081,9.83914329612336,9.8442685142916,9.92509431043437,9.87663771122192,9.70244142495979,9.64234814564594,9.75852192642114,9.75027985971676,10.0782679779638,10.008479363768
"KLHL13",4.23230444674919,4.75833645677438,4.15773637590888,3.20179343847135,4.08102332369386,4.60509181191233,4.621695005152,3.93553915074388,4.4880160510791,4.12208485944798,3.88604577403652,4.49893961409431,3.76045889046872,4.21575641642208,4.09664201475722,3.97117715533934,4.29033213197966,4.29790067021562,4.15867344573052,4.06983931097825,4.13780838569646,3.96063317628585,4.16758390103545
"CYP26B1",3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,4.38229331957218,4.60519908935893
"ICA1",4.87768449187607,5.25529936374417,4.3986045019002,5.00589405131629,5.17088180410555,4.5412167092182,5.58555997351558,5.76929627399949,4.96904641906666,4.74789259053763,5.77654916881652,4.98328954805053,5.32327340874697,4.85863419249844,4.9174251165893,4.95816010200791,5.45719601207831,5.56238291129043,5.42703548355001,4.58696442993971,4.55383830976215,4.58435890409958,5.5945369352177
"DBNDD1",5.64908761743416,5.01287280836442,5.74670817335687,4.1467933476902,4.95132239110725,5.3737733171435,4.91025888608003,4.91591200828753,5.58126436189653,4.8951548972815,4.68061197933333,5.34612792905281,5.98103633441734,5.46669816551761,5.17642009476626,5.66963636904287,4.75692668910579,5.20977224886529,5.61044955798213,6.14950957303747,5.88466607396954,4.90191987362368,5.64655228918708
"ALS2",6.51977850194411,6.6565417511955,6.18068448280399,6.50953408228146,6.47761258348359,6.40331689902565,6.74045508791579,6.57485914757416,7.23480920771978,6.34447109468198,6.61770113176581,6.40093133019688,6.30008100455134,6.33882774569959,6.62739267720298,6.53154963448647,6.44709426018179,6.77559926254565,6.6251226560307,6.34765556898708,6.26291201840499,6.25843802256337,6.53624341169677
"CASP10",8.93431251222525,9.06038834393422,9.0435986312037,7.99630447307468,8.87090970122963,8.9453034168417,8.79135586487563,8.77775601024819,8.79409646308405,8.89826983967169,8.85215928441959,9.08517909341754,8.79542424919751,9.155421677117,8.71189363580267,9.09123300327124,9.07031374958236,8.92967409458021,9.03569375371785,9.0583898509096,9.01565450726869,9.23922875038024,8.72763462627516
"CFLAR",10.9916312519788,11.7929882833127,10.7637464697213,10.5618030587639,11.4622413999476,11.2825354352918,10.885354773292,10.4457527096059,11.3333356256036,10.8594509954859,11.4159839769719,10.8044365303283,10.5405488270041,11.6816616805216,11.2621699690731,11.4357431103809,11.7281056592881,11.4754197716619,11.1467015745181,10.6952576335816,11.3619927485854,10.748148808772,10.7961685312469
"TFPI",4.83242137310179,4.42944585728515,4.53104893541753,6.21993238861903,4.95132239110725,4.50777167429881,6.18504240566664,4.85006669913342,5.15167842704037,4.19314196079734,4.36622741228675,3.86653857361279,5.47371697986403,4.45902499483611,4.09664201475722,4.50544503892785,4.65804573456951,5.3205986133711,5.0267040895631,5.53370418540687,4.73232959574624,4.96941022472974,3.95534370724294
"NDUFAF7",6.54547192680336,6.39592253568807,6.61441844191625,6.7497497185731,6.4582564971414,6.69562944418684,6.40931456051842,6.24117151321154,6.08589440666522,6.64637386728912,6.16029882599491,6.44322996539275,6.07554053744271,6.23754348520786,6.64077902877456,6.25245582730834,6.43391556011289,6.59879233443522,6.07739082841173,6.28466862110057,6.39650477049943,6.33122756557947,6.23810168166785
"RBM5",10.6732311976462,10.5202154492518,10.4242994864209,10.5342074722301,10.4535569291387,10.5402547645749,10.3551084415225,9.98428336694903,10.3693215653838,10.4561189687823,10.4502935693352,10.4564919503427,10.196831672805,10.6449802981458,10.6054218324697,10.4949826119679,10.5778773197016,10.5295464695705,10.2213834924618,10.1236603714554,10.4663589311285,10.2934371344256,10.4910483829283
"MTMR7",3.62992608319868,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.79573974659204,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135,3.20179343847135
"ARF5",8.91491846830555,9.32553113714043,8.80760016997923,10.3475024748719,9.4840700477362,8.82919747013211,8.86792192265677,9.31548953265302,8.53005707230918,8.95568126025235,9.33814629328897,8.77224332633175,8.98641414934698,9.17413023933891,9.14120453823484,9.11757591319028,9.17781991978323,9.48968758710624,9.01632415448081,8.99507564381331,8.87067849023435,8.93958902401001,8.75934109468795
"SARM1",7.50783496904138,7.30177711513464,7.81376115405019,6.04908145536296,7.25694181039322,7.5078344366463,7.06216762652814,7.78039151123317,7.78856039354596,7.36110591166021,7.43830516171217,7.23413953142973,7.62054022238799,7.35156549108937,7.01367078455749,7.29639791123028,7.48177752174398,7.27014734479755,7.03461344178459,7.27765122054824,7.52663268535027,7.34962495220185,7.8792782895316
"POLDIP2",8.35177431347237,8.55693440241355,8.73849223953104,8.34412771712149,8.86728352084518,8.02316850043627,9.32431324896178,8.9544019524633,8.72916475381941,8.34022679394632,8.33480241070092,8.44585457332008,8.86626605029607,8.34240372705059,8.49508001526152,8.5438007814028,8.4704810276162,8.57113492969849,9.24320378687635,8.91523521254829,8.39951380395945,8.82820664942833,8.2840907272764
"PLXND1",7.9268404010085,8.78238766138157,7.94729544790669,7.97297253421133,8.67740226335894,7.72863726931068,8.59809688505335,8.51534996629355,9.04944511209104,7.79009849719101,8.79848366883057,8.07998977172327,7.27394013867547,8.19687030553375,8.44675243641416,8.33804437629565,8.38497865171178,8.42667531134816,8.5562181116268,7.62656964414798,7.96977245593096,8.4059743346797,7.7530885534234
"AK2",9.12148542684536,9.38102080286479,9.18118640404227,9.24640379436585,9.073310458869,9.0207269435626,8.88275894982103,9.19193658822405,8.58980637687026,9.16487660649457,9.45764782499033,9.20061376064133,8.88770868103133,9.155421677117,9.18942765466687,9.28032103252802,9.25766323728082,9.21318426693434,9.32733923956138,9.23866284855231,9.04517192739014,9.39529208254508,9.24793395833383
"CD38",8.22751571770942,8.56294764136013,8.2512436516423,7.79810709561144,7.44432634195165,8.3883566146503,7.84836528505605,7.555929648913,8.22549267848885,8.88453833845819,8.2721596703857,8.71705239316145,7.90797117233871,9.15027693113146,7.82242658890777,9.09123300327124,8.31912188078325,7.64710900403673,8.1917793646644,9.08903397426295,8.10567713486958,9.02685543770894,7.83663078192829
"FKBP4",8.16317737329233,7.7918436902934,7.58054704644165,8.04186321006457,7.87164180922475,8.14711003995372,7.86342163938167,8.30388942885669,8.10775388287978,8.20779364415316,8.3205863293064,7.82206269238357,8.03651765777042,7.89416968172124,7.85700713242748,8.06938534619655,8.04233715316641,8.97432231801935,8.12094957316424,7.9001675572334,8.60926480175596,8.08432083579149,7.87401600044623
"KDM1A",8.04316539832909,8.095691262947,8.11384527275529,9.01495004865484,7.73487588247914,7.82321079725154,7.80222661785439,7.85058428631838,7.73657722708497,8.15644756652041,8.04020219803914,8.08264049805493,7.98964816156486,7.950568050086,7.8852023520042,8.1431060338464,8.03803236594952,7.91239174270188,8.04645357131611,8.12403446141585,8.0115340123359,8.09468000985804,8.13816854209452
