"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"M6PR",11.839749160156,11.6109727674663,11.6655161070508,11.6306561038724,11.6387490414132,11.6951871135037,11.4840577092596,11.4539169579853,11.3285363783216,11.5671434470709,11.7144426240937,11.822314998112,11.8099766319264,11.3495977964925,11.7220328178121,11.7015621079118,11.9827417192976
"KLHL13",5.56469906470567,5.69525119170622,5.65569669662491,5.65034169107809,5.54568766688403,5.60588442740544,5.54926022133491,5.23105779056766,5.15415992916484,5.72096497960245,5.8245444014953,5.86489672539746,5.69480897699665,5.5197105114452,4.92599562385468,5.02492221271671,5.55823339074188
"CYP26B1",4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.63528229136616,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,6.87530731588963,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604,4.27114762010604
"ICA1",6.41733622287063,7.02883965615287,6.40459502624766,6.73840067352014,6.32819861368843,7.1076503750624,6.23058065997135,6.54494075647195,6.2223263491163,7.5312087285791,6.74525578514148,6.05759615952402,6.12312667410802,6.29585328692868,6.45945070053951,6.87134760712126,6.41470746927406
"DBNDD1",7.27148605805798,7.31879681600605,7.18122189316498,6.91417357948997,7.11439094809999,7.30989095910891,7.23217271729593,6.64817914479245,7.35034302979615,7.20680698918087,7.23369294641748,6.75668364107966,6.64903350192059,8.19868109240753,7.03198265082768,6.92867030235518,7.27385355416026
"ALS2",8.55154505536477,8.25042961441103,7.97886534519529,8.00961072072786,8.43748859457838,7.7067144906723,8.51203345108856,8.23988833080862,8.27504794563682,8.23664789182202,8.65071922733076,8.04553966537233,7.93416742715309,8.47099118508767,8.19628257336157,8.24744953555041,7.75236382272464
"CASP10",10.5936183174833,10.5668072040633,10.5082457344911,10.6469568732053,10.6484776240752,10.520683443199,10.7296304712292,10.2194521224783,10.2226544853528,10.5825612378781,10.5822139640718,10.6288095007265,10.6467327596855,10.3597392413772,10.9251838782773,10.4545555460945,10.7343290866886
"CFLAR",12.6166098817445,13.1903695076389,12.8591526500142,13.1034330910298,12.491752392184,12.8048800059754,13.2980727082536,13.6461650692389,13.5914166991574,13.4377756869781,13.3058802083213,12.7478199024092,12.5993974747279,13.2689642674365,13.3685924172941,13.3271116807346,13.0709733372914
"TFPI",5.09640120383038,5.29772978030453,5.68905022087489,6.03077279179938,5.21992644992134,5.85549712549339,5.47129003173325,5.56603449511175,5.50184247568651,5.72096497960245,5.07545628410053,5.52916152140802,5.39625721103532,5.14639457464876,5.65676570724648,5.45976725958182,5.62326520754893
"NDUFAF7",8.2663473487137,7.94321769069674,7.94951459612528,8.10114831318556,8.58221156032159,8.05074746930407,8.25379054779897,8.37172860594675,7.80408892930189,8.28993668755726,8.01117084888386,8.25510430054094,8.25163321536458,8.28628381640524,8.09265684420655,8.12085085514859,7.97928596256908
